parameter,ST,ST_conf,S1,S1_conf
mean_age,1.0819127867625382,1.109483194214372,2.0093405729266833,2.390899198696502
risk_age,0.010000524244789435,1.4437652928423252,0.029701462725458903,1.9363266157058072
