parameter,ST,ST_conf,S1,S1_conf
mean_age,1.0781550401324802,1.0187469199835935,2.0060297643234697,2.217483086079672
risk_age,0.01105062913956451,1.7083771693856897,0.0217937219521778,1.968223759369373
