p_mean_age,p_max_age,p_proportion_wearing_masks,p_healthcare_capacity,p_self_isolate_proportion,p_lockdown,p_lockdown_percentage,p_lockdown_compliance,r_timesteps,r_dead,r_recovered,r_infected,r_infectious,r_unaffected
34.39453125,55.80078125,0.5185546875,169.189453125,0.2802734375,True,0.0277197265625,89.99169921875,2352,13,429,0,0,58
40.01953125,55.80078125,0.5185546875,169.189453125,0.2802734375,True,0.0277197265625,89.99169921875,1735,28,459,0,0,13
34.39453125,54.16015625,0.5185546875,169.189453125,0.2802734375,True,0.0277197265625,89.99169921875,1810,12,479,0,0,9
34.39453125,55.80078125,0.0849609375,169.189453125,0.2802734375,True,0.0277197265625,89.99169921875,1750,10,455,0,0,35
34.39453125,55.80078125,0.5185546875,63.720703125,0.2802734375,True,0.0277197265625,89.99169921875,1566,28,469,0,0,3
34.39453125,55.80078125,0.5185546875,169.189453125,0.1611328125,True,0.0277197265625,89.99169921875,2097,9,441,0,0,50
34.39453125,55.80078125,0.5185546875,169.189453125,0.2802734375,False,0.0277197265625,89.99169921875,2041,12,437,0,0,51
34.39453125,55.80078125,0.5185546875,169.189453125,0.2802734375,True,0.0760595703125,89.99169921875,2556,16,436,0,0,48
34.39453125,55.80078125,0.5185546875,169.189453125,0.2802734375,True,0.0277197265625,37.32666015625,2218,15,419,0,0,66
40.01953125,54.16015625,0.0849609375,63.720703125,0.1611328125,False,0.0760595703125,37.32666015625,1870,16,441,0,0,43
44.39453125,85.80078125,0.0185546875,44.189453125,0.7802734375,False,0.2752197265625,40.24169921875,1726,14,430,0,0,56
30.01953125,85.80078125,0.0185546875,44.189453125,0.7802734375,False,0.2752197265625,40.24169921875,2052,12,446,0,0,42
44.39453125,84.16015625,0.0185546875,44.189453125,0.7802734375,False,0.2752197265625,40.24169921875,1923,14,437,0,0,49
44.39453125,85.80078125,0.5849609375,44.189453125,0.7802734375,False,0.2752197265625,40.24169921875,2152,13,445,0,0,42
44.39453125,85.80078125,0.0185546875,188.720703125,0.7802734375,False,0.2752197265625,40.24169921875,1900,11,432,0,0,57
44.39453125,85.80078125,0.0185546875,44.189453125,0.6611328125,False,0.2752197265625,40.24169921875,1865,13,446,0,0,41
44.39453125,85.80078125,0.0185546875,44.189453125,0.7802734375,True,0.2752197265625,40.24169921875,2715,23,431,0,0,46
