p_mean_age,p_max_age,p_proportion_wearing_masks,p_healthcare_capacity,p_self_isolate_proportion,p_lockdown,p_lockdown_percentage,p_lockdown_compliance,r_timesteps,r_dead,r_recovered,r_infected,r_infectious,r_unaffected
34.39453125,55.80078125,0.5185546875,169.189453125,0.2802734375,True,0.0277197265625,89.99169921875,1924,19,450,0,0,31
40.01953125,55.80078125,0.5185546875,169.189453125,0.2802734375,True,0.0277197265625,89.99169921875,2121,9,436,0,0,55
34.39453125,54.16015625,0.5185546875,169.189453125,0.2802734375,True,0.0277197265625,89.99169921875,2075,12,439,0,0,49
34.39453125,55.80078125,0.0849609375,169.189453125,0.2802734375,True,0.0277197265625,89.99169921875,1904,9,442,0,0,49
34.39453125,55.80078125,0.5185546875,63.720703125,0.2802734375,True,0.0277197265625,89.99169921875,2130,9,447,0,0,44
34.39453125,55.80078125,0.5185546875,169.189453125,0.1611328125,True,0.0277197265625,89.99169921875,2158,19,450,0,0,31
34.39453125,55.80078125,0.5185546875,169.189453125,0.2802734375,False,0.0277197265625,89.99169921875,2616,9,450,0,0,41
34.39453125,55.80078125,0.5185546875,169.189453125,0.2802734375,True,0.0760595703125,89.99169921875,2288,15,435,0,0,50
34.39453125,55.80078125,0.5185546875,169.189453125,0.2802734375,True,0.0277197265625,37.32666015625,1760,10,435,0,0,55
34.39453125,54.16015625,0.0849609375,63.720703125,0.1611328125,False,0.0760595703125,37.32666015625,2051,10,441,0,0,49
40.01953125,55.80078125,0.0849609375,63.720703125,0.1611328125,False,0.0760595703125,37.32666015625,2028,10,453,0,0,37
40.01953125,54.16015625,0.5185546875,63.720703125,0.1611328125,False,0.0760595703125,37.32666015625,1763,12,466,0,0,22
40.01953125,54.16015625,0.0849609375,169.189453125,0.1611328125,False,0.0760595703125,37.32666015625,2394,13,451,0,0,36
40.01953125,54.16015625,0.0849609375,63.720703125,0.2802734375,False,0.0760595703125,37.32666015625,2330,11,450,0,0,39
40.01953125,54.16015625,0.0849609375,63.720703125,0.1611328125,True,0.0760595703125,37.32666015625,2256,17,433,0,0,50
40.01953125,54.16015625,0.0849609375,63.720703125,0.1611328125,False,0.0277197265625,37.32666015625,1872,8,441,0,0,51
40.01953125,54.16015625,0.0849609375,63.720703125,0.1611328125,False,0.0760595703125,89.99169921875,1853,16,438,0,0,46
40.01953125,54.16015625,0.0849609375,63.720703125,0.1611328125,False,0.0760595703125,37.32666015625,2118,15,437,0,0,48
44.39453125,85.80078125,0.0185546875,44.189453125,0.7802734375,False,0.2752197265625,40.24169921875,2062,17,428,0,0,55
30.01953125,85.80078125,0.0185546875,44.189453125,0.7802734375,False,0.2752197265625,40.24169921875,1886,20,461,0,0,19
44.39453125,84.16015625,0.0185546875,44.189453125,0.7802734375,False,0.2752197265625,40.24169921875,1784,14,466,0,0,20
44.39453125,85.80078125,0.5849609375,44.189453125,0.7802734375,False,0.2752197265625,40.24169921875,2053,12,455,0,0,33
44.39453125,85.80078125,0.0185546875,188.720703125,0.7802734375,False,0.2752197265625,40.24169921875,1753,24,420,0,0,56
44.39453125,85.80078125,0.0185546875,44.189453125,0.6611328125,False,0.2752197265625,40.24169921875,2338,14,454,0,0,32
44.39453125,85.80078125,0.0185546875,44.189453125,0.7802734375,True,0.2752197265625,40.24169921875,2195,27,436,0,0,37
44.39453125,85.80078125,0.0185546875,44.189453125,0.7802734375,False,0.3235595703125,40.24169921875,2053,23,433,0,0,44
44.39453125,85.80078125,0.0185546875,44.189453125,0.7802734375,False,0.2752197265625,87.07666015625,1736,20,469,0,0,11
44.39453125,84.16015625,0.5849609375,188.720703125,0.6611328125,True,0.3235595703125,87.07666015625,1744,20,472,0,0,8
30.01953125,85.80078125,0.5849609375,188.720703125,0.6611328125,True,0.3235595703125,87.07666015625,1950,21,442,0,0,37
30.01953125,84.16015625,0.0185546875,188.720703125,0.6611328125,True,0.3235595703125,87.07666015625,2222,10,452,0,0,38
30.01953125,84.16015625,0.5849609375,44.189453125,0.6611328125,True,0.3235595703125,87.07666015625,2477,17,438,0,0,45
30.01953125,84.16015625,0.5849609375,188.720703125,0.7802734375,True,0.3235595703125,87.07666015625,2213,26,434,0,0,40
30.01953125,84.16015625,0.5849609375,188.720703125,0.6611328125,False,0.3235595703125,87.07666015625,1976,14,446,0,0,40
30.01953125,84.16015625,0.5849609375,188.720703125,0.6611328125,True,0.2752197265625,87.07666015625,1777,18,452,0,0,30
30.01953125,84.16015625,0.5849609375,188.720703125,0.6611328125,True,0.3235595703125,40.24169921875,2177,16,432,0,0,52
30.01953125,84.16015625,0.5849609375,188.720703125,0.6611328125,True,0.3235595703125,87.07666015625,2079,7,450,0,0,43
49.39453125,70.80078125,0.7685546875,231.689453125,0.5302734375,False,0.1514697265625,15.36669921875,2226,16,441,0,0,43
35.01953125,70.80078125,0.7685546875,231.689453125,0.5302734375,False,0.1514697265625,15.36669921875,2431,16,450,0,0,34
49.39453125,99.16015625,0.7685546875,231.689453125,0.5302734375,False,0.1514697265625,15.36669921875,2016,9,446,0,0,45
49.39453125,70.80078125,0.8349609375,231.689453125,0.5302734375,False,0.1514697265625,15.36669921875,2206,14,432,0,0,54
49.39453125,70.80078125,0.7685546875,126.220703125,0.5302734375,False,0.1514697265625,15.36669921875,1992,18,416,0,0,66
49.39453125,70.80078125,0.7685546875,231.689453125,0.4111328125,False,0.1514697265625,15.36669921875,2186,13,444,0,0,43
49.39453125,70.80078125,0.7685546875,231.689453125,0.5302734375,False,0.1514697265625,15.36669921875,1785,17,446,0,0,37
49.39453125,70.80078125,0.7685546875,231.689453125,0.5302734375,False,0.4473095703125,15.36669921875,1849,12,437,0,0,51
49.39453125,70.80078125,0.7685546875,231.689453125,0.5302734375,False,0.1514697265625,12.45166015625,1777,11,459,0,0,30
49.39453125,99.16015625,0.8349609375,126.220703125,0.4111328125,False,0.4473095703125,12.45166015625,1863,12,447,0,0,41
35.01953125,70.80078125,0.8349609375,126.220703125,0.4111328125,False,0.4473095703125,12.45166015625,1634,25,449,0,0,26
35.01953125,99.16015625,0.7685546875,126.220703125,0.4111328125,False,0.4473095703125,12.45166015625,1729,17,458,0,0,25
35.01953125,99.16015625,0.8349609375,231.689453125,0.4111328125,False,0.4473095703125,12.45166015625,1746,14,457,0,0,29
35.01953125,99.16015625,0.8349609375,126.220703125,0.5302734375,False,0.4473095703125,12.45166015625,1896,9,452,0,0,39
35.01953125,99.16015625,0.8349609375,126.220703125,0.4111328125,False,0.4473095703125,12.45166015625,2118,17,460,0,0,23
35.01953125,99.16015625,0.8349609375,126.220703125,0.4111328125,False,0.1514697265625,12.45166015625,2412,12,441,0,0,47
35.01953125,99.16015625,0.8349609375,126.220703125,0.4111328125,False,0.4473095703125,15.36669921875,1844,16,444,0,0,40
35.01953125,99.16015625,0.8349609375,126.220703125,0.4111328125,False,0.4473095703125,12.45166015625,2183,16,423,0,0,61
39.39453125,100.80078125,0.2685546875,106.689453125,0.0302734375,True,0.3989697265625,65.11669921875,1826,14,464,0,0,22
45.01953125,100.80078125,0.2685546875,106.689453125,0.0302734375,True,0.3989697265625,65.11669921875,1949,15,424,0,0,61
39.39453125,69.16015625,0.2685546875,106.689453125,0.0302734375,True,0.3989697265625,65.11669921875,2259,9,435,0,0,56
39.39453125,100.80078125,0.3349609375,106.689453125,0.0302734375,True,0.3989697265625,65.11669921875,2174,19,421,0,0,60
39.39453125,100.80078125,0.2685546875,1.220703125,0.0302734375,True,0.3989697265625,65.11669921875,1996,12,456,0,0,32
39.39453125,100.80078125,0.2685546875,106.689453125,0.9111328125,True,0.3989697265625,65.11669921875,1990,16,430,0,0,54
39.39453125,100.80078125,0.2685546875,106.689453125,0.0302734375,True,0.3989697265625,65.11669921875,1983,6,438,0,0,56
39.39453125,100.80078125,0.2685546875,106.689453125,0.0302734375,True,0.1998095703125,65.11669921875,1700,12,434,0,0,54
39.39453125,100.80078125,0.2685546875,106.689453125,0.0302734375,True,0.3989697265625,62.20166015625,1947,16,434,0,0,50
39.39453125,69.16015625,0.3349609375,1.220703125,0.9111328125,True,0.1998095703125,62.20166015625,1748,8,475,0,0,17
45.01953125,100.80078125,0.3349609375,1.220703125,0.9111328125,True,0.1998095703125,62.20166015625,2020,25,456,0,0,19
45.01953125,69.16015625,0.2685546875,1.220703125,0.9111328125,True,0.1998095703125,62.20166015625,2222,13,450,0,0,37
45.01953125,69.16015625,0.3349609375,106.689453125,0.9111328125,True,0.1998095703125,62.20166015625,1903,19,446,0,0,35
45.01953125,69.16015625,0.3349609375,1.220703125,0.0302734375,True,0.1998095703125,62.20166015625,1741,31,463,0,0,6
45.01953125,69.16015625,0.3349609375,1.220703125,0.9111328125,True,0.1998095703125,62.20166015625,2932,14,436,0,0,50
45.01953125,69.16015625,0.3349609375,1.220703125,0.9111328125,True,0.3989697265625,62.20166015625,2128,14,432,0,0,54
45.01953125,69.16015625,0.3349609375,1.220703125,0.9111328125,True,0.1998095703125,65.11669921875,2815,11,422,0,0,67
45.01953125,69.16015625,0.3349609375,1.220703125,0.9111328125,True,0.1998095703125,62.20166015625,2408,12,448,0,0,40
36.89453125,78.30078125,0.1435546875,75.439453125,0.1552734375,True,0.2133447265625,2.92919921875,2013,9,439,0,0,52
37.51953125,78.30078125,0.1435546875,75.439453125,0.1552734375,True,0.2133447265625,2.92919921875,2034,13,450,0,0,37
36.89453125,91.66015625,0.1435546875,75.439453125,0.1552734375,True,0.2133447265625,2.92919921875,1858,15,438,0,0,47
36.89453125,78.30078125,0.9599609375,75.439453125,0.1552734375,True,0.2133447265625,2.92919921875,1844,13,440,0,0,47
36.89453125,78.30078125,0.1435546875,32.470703125,0.1552734375,True,0.2133447265625,2.92919921875,2139,11,415,0,0,74
36.89453125,78.30078125,0.1435546875,75.439453125,0.2861328125,True,0.2133447265625,2.92919921875,1842,11,454,0,0,35
36.89453125,78.30078125,0.1435546875,75.439453125,0.1552734375,True,0.2133447265625,2.92919921875,1870,13,430,0,0,57
36.89453125,78.30078125,0.1435546875,75.439453125,0.1552734375,True,0.1379345703125,2.92919921875,2373,9,450,0,0,41
36.89453125,78.30078125,0.1435546875,75.439453125,0.1552734375,True,0.2133447265625,74.63916015625,1458,24,441,0,0,35
