parameter,ST,ST_conf,S1,S1_conf
mean_age,0.9523809523809529,0.8165944157944134,0.5549174443646808,1.1140971344580333
risk_age,0.9523809523809528,0.7360458869789219,-0.11988513998564258,1.4398538817047037
