,infected,recovered,fatalities,infected_known,susceptible
0,0,0,0,0,2000
1,0,0,0,0,2000
2,0,0,0,0,2000
3,0,0,0,0,2000
4,0,0,0,0,2000
5,0,0,0,0,2000
6,5,0,0,0,1995
7,5,0,0,0,1995
8,5,0,0,0,1995
9,5,0,0,0,1995
10,5,0,0,0,1995
11,5,0,0,0,1995
12,5,0,0,0,1995
13,5,0,0,0,1995
14,5,0,0,0,1995
15,5,0,0,0,1995
16,5,0,0,0,1995
17,5,0,0,0,1995
18,5,0,0,0,1995
19,5,0,0,0,1995
20,5,0,0,0,1995
21,5,0,0,0,1995
22,5,0,0,0,1995
23,5,0,0,0,1995
24,5,0,0,0,1995
25,5,0,0,0,1995
26,7,0,0,0,1993
27,8,0,0,0,1992
28,10,0,0,0,1990
29,14,0,0,0,1986
30,16,0,0,0,1984
31,18,0,0,0,1982
32,18,0,0,0,1982
33,18,0,0,0,1982
34,20,0,0,0,1980
35,20,0,0,0,1980
36,20,0,0,0,1980
37,20,0,0,0,1980
38,22,0,0,0,1978
39,24,0,0,0,1976
40,26,0,0,0,1974
41,27,0,0,0,1973
42,29,0,0,0,1971
43,29,0,0,0,1971
44,32,0,0,0,1968
45,32,0,0,0,1968
46,32,0,0,0,1968
47,32,0,0,0,1968
48,32,0,0,0,1968
49,33,0,0,0,1967
50,36,0,0,0,1964
51,38,0,0,0,1962
52,43,0,0,0,1957
53,44,0,0,0,1956
54,45,0,0,0,1955
55,46,0,0,0,1954
56,48,0,0,0,1952
57,49,0,0,0,1951
58,50,0,0,0,1950
59,52,0,0,0,1948
60,54,0,0,0,1946
61,57,0,0,0,1943
62,59,0,0,0,1941
63,62,0,0,0,1938
64,67,0,0,0,1933
65,70,0,0,0,1930
66,74,0,0,0,1926
67,81,0,0,0,1919
68,88,0,0,0,1912
69,92,0,0,0,1908
70,95,0,0,0,1905
71,100,0,0,0,1900
72,102,0,0,0,1898
73,107,0,0,0,1893
74,111,0,0,0,1889
75,114,0,0,0,1886
76,119,0,0,0,1881
77,123,0,0,0,1877
78,127,0,0,0,1873
79,134,0,0,0,1866
80,137,0,0,2,1863
81,140,0,0,2,1860
82,140,0,0,2,1860
83,142,0,0,2,1858
84,144,0,0,2,1856
85,148,0,0,2,1852
86,153,0,0,2,1847
87,156,0,0,2,1844
88,160,0,0,2,1840
89,164,0,0,2,1836
90,169,0,0,5,1831
91,169,0,0,5,1831
92,172,0,0,5,1828
93,172,0,0,5,1828
94,174,0,0,5,1826
95,177,0,0,5,1823
96,178,0,0,5,1822
97,182,0,0,5,1818
98,185,0,0,5,1815
99,187,0,0,5,1813
100,191,0,0,9,1809
101,194,0,0,9,1806
102,195,0,0,9,1805
103,199,0,0,9,1801
104,200,0,0,9,1800
105,201,0,0,9,1799
106,201,0,0,9,1799
107,204,0,0,9,1796
108,206,0,0,9,1794
109,211,0,0,9,1789
110,213,0,0,15,1787
111,214,0,0,15,1786
112,215,0,0,15,1785
113,219,0,0,15,1781
114,220,0,0,15,1780
115,220,0,0,15,1780
116,224,0,0,15,1776
117,225,0,0,15,1775
118,227,0,0,15,1773
119,229,0,0,15,1771
120,232,0,0,17,1768
121,235,0,0,17,1765
122,236,0,0,17,1764
123,237,0,0,17,1763
124,240,0,0,17,1760
125,242,0,0,17,1758
126,244,0,0,17,1756
127,244,0,0,17,1756
128,246,0,0,17,1754
129,247,0,0,17,1753
130,249,0,0,24,1751
131,249,0,0,24,1751
132,250,0,0,24,1750
133,251,0,0,24,1749
134,253,0,0,24,1747
135,254,0,0,24,1746
136,256,0,0,24,1744
137,260,0,0,24,1740
138,263,0,0,24,1737
139,264,0,0,24,1736
140,267,0,0,41,1733
141,267,0,0,41,1733
142,268,0,0,41,1732
143,268,0,0,41,1732
144,271,0,0,41,1729
145,272,0,0,41,1728
146,273,0,0,41,1727
147,273,0,0,41,1727
148,277,0,0,41,1723
149,277,0,0,41,1723
150,279,0,0,55,1721
151,280,0,0,55,1720
152,280,0,0,55,1720
153,281,0,0,55,1719
154,281,0,0,55,1719
155,283,0,0,55,1717
156,283,0,0,55,1717
157,286,0,0,55,1714
158,287,0,0,55,1713
159,288,0,0,55,1712
160,288,0,0,82,1712
161,289,0,0,82,1711
162,289,0,0,82,1711
163,291,0,0,82,1709
164,294,0,0,82,1706
165,296,0,0,82,1704
166,297,0,0,82,1703
167,297,0,0,82,1703
168,299,0,0,82,1701
169,303,0,0,82,1697
170,305,0,0,104,1695
171,305,0,0,104,1695
172,308,0,0,104,1692
173,308,0,0,104,1692
174,310,0,0,104,1690
175,312,0,0,104,1688
176,318,0,0,104,1682
177,321,0,0,104,1679
178,322,0,0,104,1678
179,323,0,0,104,1677
180,325,0,0,121,1675
181,325,0,0,121,1675
182,325,0,0,121,1675
183,326,0,0,121,1674
184,326,0,0,121,1674
185,329,0,0,121,1671
186,330,0,0,121,1670
187,330,0,0,121,1670
188,331,0,0,121,1669
189,332,0,0,121,1668
190,334,0,0,135,1666
191,335,0,0,135,1665
192,336,0,0,135,1664
193,338,0,0,135,1662
194,340,0,0,135,1660
195,341,0,0,135,1659
196,342,0,0,135,1658
197,344,0,0,135,1656
198,347,0,0,135,1653
199,348,0,0,135,1652
200,349,0,0,154,1651
201,353,0,0,154,1647
202,353,0,0,154,1647
203,353,0,0,154,1647
204,355,0,0,154,1645
205,356,0,0,154,1644
206,358,0,0,154,1642
207,361,0,0,154,1639
208,364,0,0,154,1636
209,365,0,0,154,1635
210,367,0,0,169,1633
211,367,0,0,169,1633
212,367,0,0,169,1633
213,369,0,0,169,1631
214,372,0,0,169,1628
215,372,0,0,169,1628
216,374,0,0,169,1626
217,376,0,0,169,1624
218,377,0,0,169,1623
219,377,0,0,169,1623
220,379,0,0,185,1621
221,379,0,0,185,1621
222,382,0,0,185,1618
223,382,0,0,185,1618
224,386,0,0,185,1614
225,388,0,0,185,1612
226,389,0,0,185,1611
227,389,0,0,185,1611
228,389,0,0,185,1611
229,392,0,0,185,1608
230,394,0,0,194,1606
231,395,0,0,194,1605
232,396,0,0,194,1604
233,397,0,0,194,1603
234,399,0,0,194,1601
235,400,0,0,194,1600
236,402,0,0,194,1598
237,402,0,0,194,1598
238,404,0,0,194,1596
239,405,0,0,194,1595
240,405,0,0,202,1595
241,405,0,0,202,1595
242,406,0,0,202,1594
243,407,0,0,202,1593
244,408,0,0,202,1592
245,409,0,0,202,1591
246,411,0,0,202,1589
247,414,0,0,202,1586
248,414,0,0,202,1586
249,414,0,0,202,1586
250,414,0,0,214,1586
251,415,0,0,214,1585
252,416,0,0,214,1584
253,419,0,0,214,1581
254,419,0,0,214,1581
255,421,0,0,214,1579
256,421,0,0,214,1579
257,423,0,0,214,1577
258,426,0,0,214,1574
259,428,0,0,214,1572
260,428,0,0,228,1572
261,428,0,0,228,1572
262,428,0,0,228,1572
263,428,0,0,228,1572
264,428,0,0,228,1572
265,428,0,0,228,1572
266,428,0,0,228,1572
267,428,0,0,228,1572
268,430,0,0,228,1570
269,431,0,0,228,1569
270,433,0,0,242,1567
271,433,0,0,242,1567
272,433,0,0,242,1567
273,435,0,0,242,1565
274,437,0,0,242,1563
275,439,0,0,242,1561
276,439,0,0,242,1561
277,439,0,0,242,1561
278,440,0,0,242,1560
279,442,0,0,242,1558
280,444,0,0,254,1556
281,444,0,0,254,1556
282,444,0,0,254,1556
283,444,0,0,254,1556
284,445,0,0,254,1555
285,446,0,0,254,1554
286,447,0,0,254,1553
287,448,0,0,254,1552
288,448,0,0,254,1552
289,451,0,0,254,1549
290,452,0,0,266,1548
291,451,0,1,265,1548
292,451,0,1,265,1548
293,451,0,1,265,1548
294,452,0,1,265,1547
295,453,0,1,265,1546
296,453,0,1,265,1546
297,456,0,1,265,1543
298,457,0,1,265,1542
299,457,0,1,265,1542
300,460,0,1,278,1539
301,462,0,1,278,1537
302,464,0,1,278,1535
303,464,0,1,278,1535
304,464,0,1,278,1535
305,463,1,1,277,1535
306,463,1,1,277,1535
307,463,1,1,277,1535
308,464,1,1,277,1534
309,466,1,1,277,1532
310,467,1,1,286,1531
311,469,1,1,286,1529
312,468,2,1,285,1529
313,468,2,1,285,1529
314,468,2,1,285,1529
315,469,2,1,285,1528
316,470,2,1,285,1527
317,471,2,1,285,1526
318,471,2,1,285,1526
319,473,2,1,285,1524
320,473,2,2,295,1523
321,473,2,2,295,1523
322,473,2,2,295,1523
323,473,2,2,295,1523
324,473,2,2,295,1523
325,474,2,2,295,1522
326,475,2,2,295,1521
327,475,5,2,293,1518
328,476,5,2,293,1517
329,476,5,2,293,1517
330,478,5,2,301,1515
331,478,5,2,301,1515
332,480,5,2,301,1513
333,481,6,2,301,1511
334,480,7,2,300,1511
335,479,9,2,299,1510
336,479,9,2,299,1510
337,481,9,2,299,1508
338,485,9,2,299,1504
339,487,9,2,299,1502
340,487,9,2,306,1502
341,486,10,2,306,1502
342,484,12,2,304,1502
343,485,13,2,304,1500
344,485,13,2,304,1500
345,483,15,2,302,1500
346,482,16,2,301,1500
347,482,17,2,301,1499
348,481,18,2,300,1499
349,482,18,2,300,1498
350,481,19,2,307,1498
351,482,20,3,305,1495
352,482,20,3,305,1495
353,484,20,3,305,1493
354,483,22,3,303,1492
355,484,23,3,302,1490
356,483,24,3,301,1490
357,482,25,3,300,1490
358,482,26,3,299,1489
359,482,28,3,297,1487
360,483,28,3,310,1486
361,483,28,3,310,1486
362,484,28,3,310,1485
363,484,28,3,310,1485
364,482,30,3,308,1485
365,481,31,3,308,1485
366,482,31,3,308,1484
367,481,33,3,306,1483
368,479,35,3,304,1483
369,478,35,4,303,1483
370,476,37,4,313,1483
371,474,40,4,310,1482
372,475,42,4,308,1479
373,473,44,4,307,1479
374,473,44,4,307,1479
375,475,44,4,307,1477
376,475,44,4,307,1477
377,476,45,4,306,1475
378,475,46,4,306,1475
379,475,46,4,306,1475
380,477,46,4,313,1473
381,477,47,4,312,1472
382,476,47,5,311,1472
383,477,48,5,311,1470
384,476,49,5,310,1470
385,475,51,6,308,1468
386,475,53,6,307,1466
387,474,56,6,304,1464
388,472,59,6,302,1463
389,472,59,6,302,1463
390,472,60,6,308,1462
391,471,62,6,307,1461
392,470,64,6,305,1460
393,471,64,6,305,1459
394,471,65,6,304,1458
395,473,66,6,304,1455
396,473,69,6,302,1452
397,470,71,7,299,1452
398,472,71,7,299,1450
399,473,72,7,298,1448
400,473,72,7,304,1448
401,472,74,7,303,1447
402,471,76,7,301,1446
403,471,78,7,300,1444
404,470,79,7,299,1444
405,470,80,7,299,1443
406,469,81,7,299,1443
407,467,84,8,295,1441
408,467,86,8,293,1439
409,468,87,8,293,1437
410,466,89,9,298,1436
411,466,91,9,297,1434
412,466,93,9,295,1432
413,469,93,9,295,1429
414,467,96,10,292,1427
415,467,98,10,290,1425
416,466,98,12,288,1424
417,466,99,12,287,1423
418,471,100,12,286,1417
419,472,100,13,285,1415
420,469,103,13,288,1415
421,469,103,13,288,1415
422,468,104,13,287,1415
423,468,106,13,287,1413
424,467,108,13,285,1412
425,468,109,13,284,1410
426,468,110,13,283,1409
427,468,111,13,282,1408
428,467,113,15,278,1405
429,465,114,16,276,1405
430,463,116,16,280,1405
431,462,117,16,279,1405
432,461,119,16,277,1404
433,461,121,16,275,1402
434,458,124,17,272,1401
435,459,128,17,269,1396
436,459,128,17,269,1396
437,460,128,17,269,1395
438,461,129,17,268,1393
439,459,132,17,267,1392
440,461,133,17,278,1389
441,459,136,17,275,1388
442,458,139,17,272,1386
443,455,144,17,267,1384
444,454,145,17,267,1384
445,454,145,18,266,1383
446,454,145,18,266,1383
447,452,148,18,265,1382
448,451,149,19,263,1381
449,452,149,19,263,1380
450,452,150,19,268,1379
451,450,151,20,266,1379
452,451,152,20,265,1377
453,449,155,20,262,1376
454,449,156,20,261,1375
455,448,157,20,260,1375
456,448,159,20,260,1373
457,449,159,21,259,1371
458,450,160,21,258,1369
459,453,163,21,255,1363
460,452,164,21,258,1363
461,448,167,22,255,1363
462,447,170,22,253,1361
463,447,172,22,251,1359
464,446,174,22,249,1358
