,infected,recovered,fatalities,infected_known,susceptible
0,0,0,0,0,2000
1,0,0,0,0,2000
2,0,0,0,0,2000
3,0,0,0,0,2000
4,0,0,0,0,2000
5,0,0,0,0,2000
6,5,0,0,0,1995
7,5,0,0,0,1995
8,5,0,0,0,1995
9,5,0,0,0,1995
10,5,0,0,0,1995
11,5,0,0,0,1995
12,5,0,0,0,1995
13,5,0,0,0,1995
14,5,0,0,0,1995
15,5,0,0,0,1995
16,5,0,0,0,1995
17,5,0,0,0,1995
18,5,0,0,0,1995
19,5,0,0,0,1995
20,5,0,0,0,1995
21,5,0,0,0,1995
22,5,0,0,0,1995
23,5,0,0,0,1995
24,5,0,0,0,1995
25,5,0,0,0,1995
26,6,0,0,0,1994
27,7,0,0,0,1993
28,7,0,0,0,1993
29,9,0,0,0,1991
30,12,0,0,0,1988
31,13,0,0,0,1987
32,14,0,0,0,1986
33,15,0,0,0,1985
34,16,0,0,0,1984
35,17,0,0,0,1983
36,18,0,0,0,1982
37,20,0,0,0,1980
38,20,0,0,0,1980
39,20,0,0,0,1980
40,25,0,0,0,1975
41,29,0,0,0,1971
42,29,0,0,0,1971
43,30,0,0,0,1970
44,30,0,0,0,1970
45,31,0,0,0,1969
46,35,0,0,0,1965
47,36,0,0,0,1964
48,37,0,0,0,1963
49,39,0,0,0,1961
50,43,0,0,0,1957
51,46,0,0,0,1954
52,48,0,0,0,1952
53,51,0,0,0,1949
54,52,1,0,0,1947
55,57,1,0,0,1942
56,59,1,0,0,1940
57,61,1,0,0,1938
58,64,1,0,0,1935
59,67,1,0,0,1932
60,73,1,0,0,1926
61,75,1,0,0,1924
62,76,1,0,0,1923
63,80,1,0,0,1919
64,86,1,0,0,1913
65,90,1,0,0,1909
66,98,1,0,0,1901
67,105,1,0,0,1894
68,107,1,0,0,1892
69,109,1,0,0,1890
70,110,1,0,0,1889
71,110,1,0,0,1889
72,110,1,0,0,1889
73,115,1,0,0,1884
74,117,1,0,0,1882
75,120,1,0,0,1879
76,123,1,0,0,1876
77,124,1,0,0,1875
78,126,1,0,0,1873
79,128,1,0,0,1871
80,130,1,0,2,1869
81,133,1,0,2,1866
82,134,1,0,2,1865
83,137,1,0,2,1862
84,138,1,0,2,1861
85,145,1,0,2,1854
86,151,1,0,2,1848
87,156,1,0,2,1843
88,162,1,0,2,1837
89,165,1,0,2,1834
90,168,1,0,5,1831
91,171,1,0,5,1828
92,171,1,0,5,1828
93,173,1,0,5,1826
94,175,1,0,5,1824
95,178,1,0,5,1821
96,179,1,0,5,1820
97,183,1,0,5,1816
98,186,1,0,5,1813
99,189,1,0,5,1810
100,194,1,0,8,1805
101,196,1,0,8,1803
102,199,1,0,8,1800
103,199,1,0,8,1800
104,203,1,0,8,1796
105,205,1,0,8,1794
106,207,1,0,8,1792
107,211,1,0,8,1788
108,217,1,0,8,1782
109,225,1,0,8,1774
110,230,1,0,13,1769
111,233,1,0,13,1766
112,236,1,0,13,1763
113,238,1,0,13,1761
114,239,1,0,13,1760
115,242,1,0,13,1757
116,243,1,0,13,1756
117,245,1,0,13,1754
118,249,1,0,13,1750
119,254,1,0,13,1745
120,257,1,0,20,1742
121,258,1,0,20,1741
122,261,1,0,20,1738
123,263,1,0,20,1736
124,263,1,0,20,1736
125,264,1,0,20,1735
126,267,1,0,20,1732
127,270,1,0,20,1729
128,274,1,0,20,1725
129,277,1,0,20,1722
130,279,1,0,27,1720
131,280,1,0,27,1719
132,281,1,0,27,1718
133,283,1,0,27,1716
134,286,1,0,27,1713
135,289,1,0,27,1710
136,294,1,0,27,1705
137,298,1,0,27,1701
138,303,1,0,27,1696
139,304,1,0,27,1695
140,308,1,0,46,1691
141,310,1,0,46,1689
142,310,1,0,46,1689
143,310,1,0,46,1689
144,315,1,0,46,1684
145,317,1,0,46,1682
146,320,1,0,46,1679
147,322,1,0,46,1677
148,323,1,0,46,1676
149,325,1,0,46,1674
150,330,1,0,67,1669
151,330,1,0,67,1669
152,332,1,0,67,1667
153,333,1,0,67,1666
154,336,1,0,67,1663
155,337,1,0,67,1662
156,340,1,0,67,1659
157,342,1,0,67,1657
158,345,1,0,67,1654
159,351,1,0,67,1648
160,356,1,0,81,1643
161,357,1,0,81,1642
162,360,1,0,81,1639
163,360,1,0,81,1639
164,362,2,0,81,1636
165,365,2,0,81,1633
166,366,2,0,81,1632
167,370,2,0,81,1628
168,374,2,0,81,1624
169,378,2,0,81,1620
170,383,2,0,97,1615
171,383,2,0,97,1615
172,385,2,0,97,1613
173,387,2,0,97,1611
174,388,2,0,97,1610
175,389,2,0,97,1609
176,390,2,0,97,1608
177,393,2,0,97,1605
178,395,2,0,97,1603
179,396,2,0,97,1602
180,397,2,0,114,1601
181,397,2,0,114,1601
182,400,2,0,114,1598
183,405,2,0,114,1593
184,406,2,0,114,1592
185,409,2,0,114,1589
186,409,2,0,114,1589
187,413,2,0,114,1585
188,414,2,0,114,1584
189,418,2,0,114,1580
190,418,2,0,143,1580
191,418,2,0,143,1580
192,422,2,0,143,1576
193,426,2,0,143,1572
194,427,2,0,143,1571
195,429,2,0,143,1569
196,431,2,0,143,1567
197,432,2,0,143,1566
198,433,2,0,143,1565
199,438,2,0,143,1560
200,440,2,0,172,1558
201,444,2,0,172,1554
202,447,2,0,172,1551
203,449,2,0,172,1549
204,454,2,0,172,1544
205,456,2,0,172,1542
206,458,2,0,172,1540
207,459,2,0,172,1539
208,459,2,0,172,1539
209,459,2,0,172,1539
210,460,2,0,189,1538
211,460,2,0,189,1538
212,463,2,0,189,1535
213,463,2,0,189,1535
214,465,2,0,189,1533
215,465,2,0,189,1533
216,466,2,0,189,1532
217,472,2,0,189,1526
218,474,2,0,189,1524
219,480,2,0,189,1518
220,483,2,0,209,1515
221,485,2,0,209,1513
222,486,2,0,209,1512
223,489,2,0,209,1509
224,493,2,0,209,1505
225,494,2,0,209,1504
226,496,2,0,209,1502
227,498,2,0,209,1500
228,501,2,0,209,1497
229,505,2,0,209,1493
230,511,2,0,227,1487
231,511,2,0,227,1487
232,511,2,0,227,1487
233,512,2,0,227,1486
234,514,2,0,227,1484
235,514,2,0,227,1484
236,518,2,0,227,1480
237,520,2,0,227,1478
238,523,2,0,227,1475
239,524,2,0,227,1474
240,527,2,0,248,1471
241,527,2,0,248,1471
242,527,2,0,248,1471
243,530,2,0,248,1468
244,532,2,0,248,1466
245,536,2,0,248,1462
246,538,2,0,248,1460
247,539,2,0,248,1459
248,542,2,0,248,1456
249,545,2,0,248,1453
250,545,2,0,265,1453
251,546,2,0,265,1452
252,548,2,0,265,1450
253,548,2,0,265,1450
254,551,2,0,265,1447
255,554,2,0,265,1444
256,556,2,0,265,1442
257,560,2,0,265,1438
258,561,2,0,265,1437
259,563,2,0,265,1435
260,565,2,0,279,1433
261,566,2,0,279,1432
262,567,2,0,279,1431
263,569,2,0,279,1429
264,569,2,0,279,1429
265,571,2,0,279,1427
266,571,2,0,279,1427
267,572,2,0,279,1426
268,573,2,0,279,1425
269,574,2,0,279,1424
270,574,2,0,299,1424
271,574,2,0,299,1424
272,575,2,0,299,1423
273,577,2,0,299,1421
274,578,2,0,299,1420
275,580,2,0,299,1418
276,580,2,0,299,1418
277,582,2,0,299,1416
278,584,2,0,299,1414
279,586,2,0,299,1412
280,590,2,0,309,1408
281,591,2,0,309,1407
282,591,2,0,309,1407
283,593,2,0,309,1405
284,594,2,0,309,1404
285,595,2,0,309,1403
286,596,2,0,309,1402
287,604,2,0,309,1394
288,606,2,0,309,1392
289,605,3,0,309,1392
290,607,3,0,328,1390
291,608,3,0,328,1389
292,608,3,0,328,1389
293,607,4,0,327,1389
294,609,4,0,327,1387
295,609,5,0,326,1386
296,609,5,0,326,1386
297,610,5,0,326,1385
298,612,5,0,326,1383
299,613,5,0,326,1382
300,616,5,0,345,1379
301,617,5,0,345,1378
302,619,5,0,345,1376
303,619,6,0,345,1375
304,618,7,0,344,1375
305,621,7,0,344,1372
306,623,7,0,344,1370
307,628,7,0,344,1365
308,631,7,0,344,1362
309,632,7,0,344,1361
310,634,7,0,355,1359
311,636,7,0,355,1357
312,637,7,0,355,1356
313,637,8,0,354,1355
314,640,8,0,354,1352
315,640,8,0,354,1352
316,640,9,0,353,1351
317,641,9,0,353,1350
318,643,9,0,353,1348
319,643,10,0,353,1347
320,642,11,0,370,1347
321,641,12,0,369,1347
322,641,12,0,369,1347
323,641,13,0,368,1346
324,642,13,0,368,1345
325,644,13,0,368,1343
326,644,14,0,367,1342
327,645,14,0,367,1341
328,647,14,0,367,1339
329,648,14,0,367,1338
330,649,15,0,384,1336
331,648,16,0,384,1336
332,650,16,0,384,1334
333,651,16,0,384,1333
334,651,16,0,384,1333
335,652,16,0,384,1332
336,658,16,0,384,1326
337,658,16,0,384,1326
338,659,16,0,384,1325
339,662,16,0,384,1322
340,661,19,0,398,1320
341,659,21,0,396,1320
342,660,22,0,395,1318
343,663,22,0,395,1315
344,663,23,0,394,1314
345,664,24,0,394,1312
346,668,25,0,393,1307
347,673,25,0,393,1302
348,675,26,0,392,1299
349,675,27,0,391,1298
350,675,28,0,405,1297
351,679,28,0,405,1293
352,679,29,0,404,1292
353,680,29,0,404,1291
354,679,31,0,402,1290
355,679,32,0,401,1289
356,679,32,0,401,1289
357,680,32,0,401,1288
358,681,32,0,401,1287
359,682,33,0,400,1285
360,684,33,0,413,1283
361,685,34,0,412,1281
362,685,35,0,411,1280
363,684,36,1,409,1279
364,686,36,1,409,1277
365,686,37,1,409,1276
366,683,40,1,407,1276
367,684,41,1,406,1274
368,684,42,1,406,1273
369,682,44,2,404,1272
370,681,47,2,418,1270
371,679,49,2,416,1270
372,678,50,2,415,1270
373,677,51,2,414,1270
374,677,51,2,414,1270
375,677,52,2,413,1269
376,681,53,2,412,1264
377,684,54,2,411,1260
378,684,55,2,410,1259
379,684,56,2,409,1258
380,684,57,3,418,1256
381,685,59,3,416,1253
382,685,59,4,415,1252
383,685,60,4,415,1251
384,686,61,4,414,1249
385,685,63,4,413,1248
386,687,64,4,412,1245
387,685,67,4,410,1244
388,685,68,5,408,1242
389,685,69,5,407,1241
390,686,69,5,417,1240
391,685,70,5,417,1240
392,685,71,5,416,1239
393,684,73,5,414,1238
394,685,73,5,414,1237
395,684,73,6,413,1237
396,683,76,6,410,1235
397,681,78,6,408,1235
398,679,80,6,406,1235
399,677,83,6,404,1234
400,678,84,6,413,1232
401,675,87,6,412,1232
402,674,89,6,411,1231
403,674,91,6,410,1229
404,675,92,6,410,1227
405,673,94,6,408,1227
406,673,95,6,408,1226
407,675,97,6,407,1222
408,674,99,6,405,1221
409,676,100,6,405,1218
410,678,100,6,413,1216
411,677,102,6,411,1215
412,677,103,6,410,1214
413,676,104,6,409,1214
414,676,105,6,408,1213
415,677,106,6,407,1211
416,673,110,6,405,1211
417,672,113,6,402,1209
418,672,113,7,401,1208
419,671,114,7,400,1208
420,671,114,7,415,1208
421,670,116,7,415,1207
422,670,118,7,414,1205
423,667,121,7,413,1205
424,666,123,7,411,1204
425,667,124,7,410,1202
426,666,127,7,408,1200
427,662,131,8,405,1199
428,663,131,9,404,1197
429,663,133,9,402,1195
430,661,135,10,409,1194
431,658,139,10,405,1193
432,654,144,10,403,1192
433,654,145,10,402,1191
434,651,148,10,400,1191
435,652,149,10,399,1189
436,652,150,10,398,1188
437,651,152,10,397,1187
438,651,152,11,396,1186
439,649,155,11,394,1185
440,649,157,11,401,1183
441,649,158,11,400,1182
442,645,162,11,396,1182
443,643,166,12,391,1179
444,644,167,12,390,1177
445,642,170,13,387,1175
446,641,171,13,386,1175
447,641,173,13,384,1173
448,641,174,13,384,1172
449,640,176,13,382,1171
450,638,178,13,390,1171
451,636,180,14,388,1170
452,634,183,14,385,1169
453,630,188,14,380,1168
454,627,191,14,378,1168
455,624,195,14,375,1167
456,624,196,14,375,1166
457,622,198,14,373,1166
458,619,202,14,369,1165
459,619,206,14,366,1161
460,620,207,15,374,1158
461,619,208,15,373,1158
462,619,208,15,373,1158
463,618,210,15,371,1157
464,618,213,15,369,1154
