,infected,recovered,fatalities,infected_known,susceptible,severity0,severity1,severity2,positive,number_of_tests
0,0,0,0,0,2000,0,0,0,,0.0
1,0,0,0,0,2000,0,0,0,,0.0
2,0,0,0,0,2000,0,0,0,,0.0
3,0,0,0,0,2000,0,0,0,,0.0
4,0,0,0,0,2000,0,0,0,,0.0
5,0,0,0,0,2000,0,0,0,,0.0
6,5,0,0,0,1995,0,0,0,,0.0
7,5,0,0,0,1995,0,0,0,,0.0
8,5,0,0,0,1995,0,0,0,,0.0
9,5,0,0,0,1995,0,0,0,,0.0
10,5,0,0,0,1995,0,0,0,,0.0
11,5,0,0,0,1995,0,0,0,,0.0
12,5,0,0,0,1995,0,0,0,,0.0
13,5,0,0,0,1995,0,0,0,,0.0
14,5,0,0,0,1995,0,0,0,,0.0
15,5,0,0,0,1995,0,0,0,,0.0
16,5,0,0,0,1995,0,0,0,,0.0
17,5,0,0,0,1995,0,0,0,,0.0
18,5,0,0,0,1995,0,0,0,,0.0
19,5,0,0,0,1995,0,0,0,,0.0
20,5,0,0,0,1995,0,0,0,,0.0
21,5,0,0,0,1995,0,0,0,,0.0
22,5,0,0,0,1995,0,0,0,,0.0
23,5,0,0,0,1995,0,0,0,,0.0
24,5,0,0,0,1995,0,0,0,,0.0
25,5,0,0,0,1995,5,0,0,,0.0
26,8,0,0,0,1992,5,0,0,,0.0
27,9,0,0,0,1991,5,0,0,,0.0
28,10,0,0,0,1990,5,0,0,,0.0
29,11,0,0,0,1989,5,0,0,,0.0
30,12,0,0,0,1988,5,0,0,,0.0
31,16,0,0,0,1984,5,0,0,,0.0
32,19,0,0,0,1981,5,0,0,,0.0
33,21,0,0,0,1979,5,0,0,,0.0
34,22,0,0,0,1978,5,0,0,,0.0
35,25,0,0,0,1975,5,0,0,,0.0
36,26,0,0,0,1974,5,0,0,,0.0
37,30,0,0,0,1970,5,0,0,,0.0
38,32,0,0,0,1968,5,0,0,,0.0
39,32,0,0,0,1968,5,0,0,,0.0
40,32,0,0,0,1968,5,0,0,,0.0
41,33,0,0,0,1967,5,0,0,,0.0
42,34,0,0,0,1966,5,0,0,,0.0
43,34,0,0,0,1966,5,0,0,,0.0
44,36,0,0,0,1964,5,0,0,,0.0
45,39,0,0,0,1961,5,0,0,,0.0
46,40,0,0,0,1960,8,0,0,,0.0
47,43,0,0,0,1957,9,0,0,,0.0
48,45,0,0,0,1955,10,0,0,,0.0
49,47,0,0,0,1953,11,0,0,,0.0
50,49,0,0,0,1951,12,0,0,,0.0
51,50,0,0,0,1950,16,0,0,,0.0
52,56,0,0,0,1944,19,0,0,,0.0
53,60,0,0,0,1940,21,0,0,,0.0
54,69,0,0,0,1931,22,0,0,,0.0
55,71,0,0,0,1929,25,0,0,,0.0
56,76,0,0,0,1924,26,0,0,,0.0
57,84,0,0,0,1916,30,0,0,,0.0
58,90,0,0,0,1910,32,0,0,,0.0
59,98,0,0,0,1902,32,0,0,,0.0
60,105,0,0,5,1895,32,0,0,5.0,100.0
61,106,0,0,5,1894,33,0,0,,
62,109,0,0,5,1891,34,0,0,,
63,110,0,0,5,1890,34,0,0,,
64,117,0,0,5,1883,36,0,0,,
65,119,0,0,5,1881,39,0,0,,
66,123,0,0,5,1877,40,0,0,,
67,127,0,0,5,1873,43,0,0,,
68,130,0,0,5,1870,45,0,0,,
69,136,0,0,5,1864,47,0,0,,
70,137,0,0,13,1863,49,0,0,8.0,100.0
71,142,0,0,13,1858,50,0,0,,
72,145,0,0,13,1855,56,0,0,,
73,146,0,0,13,1854,60,0,0,,
74,149,0,0,13,1851,69,0,0,,
75,154,0,0,13,1846,66,5,0,,
76,158,0,0,13,1842,71,5,0,,
77,161,0,0,13,1839,79,5,0,,
78,165,0,0,13,1835,85,5,0,,
79,172,0,0,13,1828,93,5,0,,
80,185,0,0,31,1815,100,5,0,18.0,100.0
81,194,0,0,31,1806,101,5,0,,
82,200,0,0,31,1800,104,5,0,,
83,207,0,0,31,1793,105,5,0,,
84,213,0,0,31,1787,112,5,0,,
85,216,0,0,31,1784,114,5,0,,
86,225,0,0,31,1775,118,5,0,,
87,230,0,0,31,1770,122,5,0,,
88,238,0,0,31,1762,125,5,0,,
89,245,0,0,31,1755,131,5,0,,
90,250,0,0,44,1750,132,5,0,13.0,103.0
91,257,0,0,44,1743,137,5,0,,
92,265,0,0,44,1735,140,5,0,,
93,268,0,0,44,1732,141,5,0,,
94,274,0,0,44,1726,144,5,0,,
95,282,0,0,44,1718,149,5,0,,
96,290,0,0,44,1710,150,8,0,,
97,293,0,0,44,1707,152,9,0,,
98,298,0,0,44,1702,156,9,0,,
99,301,0,0,44,1699,162,10,0,,
100,310,0,0,67,1690,174,11,0,23.0,130.0
101,318,0,0,67,1682,181,13,0,,
102,327,0,0,67,1673,185,15,0,,
103,337,0,0,67,1663,190,17,0,,
104,346,0,0,67,1654,195,18,0,,
105,355,0,0,67,1645,195,21,0,,
106,365,0,0,67,1635,204,21,0,,
107,384,0,0,67,1616,207,23,0,,
108,393,0,0,67,1607,214,24,0,,
109,408,0,0,67,1592,221,24,0,,
110,421,0,0,121,1579,226,24,0,54.0,180.0
111,430,0,0,121,1570,232,25,0,,
112,436,0,0,121,1564,239,26,0,,
113,448,0,0,121,1552,242,26,0,,
114,460,0,0,121,1540,247,27,0,,
