,infected,recovered,fatalities,infected_known
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,1,0,0,0
52,1,0,0,0
53,1,0,0,0
54,1,0,0,0
55,1,0,0,0
56,1,0,0,0
57,1,0,0,0
58,1,0,0,0
59,2,0,0,0
60,2,0,0,0
61,2,0,0,0
62,2,0,0,0
63,2,0,0,0
64,2,0,0,0
65,2,0,0,0
66,2,0,0,0
67,2,0,0,0
68,2,0,0,0
69,2,0,0,0
70,2,0,0,0
71,3,0,0,0
72,3,0,0,0
73,5,0,0,0
74,5,0,0,0
75,5,0,0,0
76,5,0,0,0
77,5,0,0,0
78,5,0,0,0
79,6,0,0,0
80,7,0,0,0
81,8,0,0,0
82,8,0,0,0
83,9,0,0,0
84,10,0,0,0
85,10,0,0,0
86,11,0,0,0
87,12,0,0,0
88,12,0,0,0
89,13,0,0,0
90,13,0,0,0
91,15,0,0,0
92,15,0,0,0
93,16,0,0,0
94,17,0,0,0
95,17,0,0,0
96,17,0,0,0
97,17,0,0,0
98,17,0,0,0
99,18,0,0,0
100,19,0,0,0
101,20,0,0,0
102,21,0,0,0
103,22,0,0,0
104,22,0,0,0
105,23,0,0,0
106,24,0,0,0
107,24,0,0,0
108,24,0,0,0
109,26,0,0,0
110,27,0,0,0
111,28,0,0,0
112,30,0,0,0
113,32,0,0,0
114,34,0,0,0
115,37,0,0,0
116,39,0,0,0
117,40,0,0,0
118,42,0,0,0
119,45,0,0,0
120,46,0,0,0
121,47,0,0,0
122,49,0,0,0
123,49,0,0,0
124,51,0,0,0
125,55,0,0,0
126,57,0,0,0
127,57,0,0,0
128,62,0,0,0
129,63,0,0,0
130,68,0,0,10
131,72,0,0,10
132,75,0,0,10
133,75,0,0,10
134,77,0,0,10
135,80,0,0,10
136,80,0,0,10
137,84,0,0,10
138,88,0,0,10
139,92,0,0,10
140,98,0,0,17
141,99,0,0,17
142,102,0,0,17
143,108,0,0,17
144,110,0,0,17
145,111,0,0,17
146,114,0,0,17
147,115,0,0,17
148,120,0,0,17
149,124,0,0,17
150,127,0,0,21
151,130,0,0,21
152,133,0,0,21
153,135,0,0,21
154,137,0,0,21
155,142,0,0,21
156,148,0,0,21
157,151,0,0,21
158,156,0,0,21
159,160,0,0,21
160,166,0,0,32
161,169,0,0,32
162,178,0,0,32
163,183,0,0,32
164,189,0,0,32
165,191,0,0,32
166,199,0,0,32
167,201,0,0,32
168,208,0,0,32
169,213,0,0,32
170,217,0,0,41
171,223,0,0,41
172,229,0,0,41
173,233,0,0,41
174,240,0,0,41
175,248,0,0,41
176,251,0,0,41
177,255,0,0,41
178,258,0,0,41
179,261,0,0,41
180,266,0,0,57
181,275,0,0,57
182,282,0,0,57
183,286,0,0,57
184,294,0,0,57
185,298,0,0,57
186,302,0,0,57
187,309,0,0,57
188,317,0,0,57
189,324,0,0,57
190,331,0,0,87
191,339,0,0,87
192,342,0,0,87
193,350,0,0,87
194,352,0,0,87
195,361,0,0,87
196,372,0,0,87
197,379,0,0,87
198,383,0,0,87
199,389,0,0,87
200,399,0,0,114
201,404,0,0,114
202,416,0,0,114
203,422,0,0,114
204,435,0,0,114
205,442,0,0,114
206,454,0,0,114
207,464,0,0,114
208,468,1,0,114
209,474,1,0,114
210,480,1,0,152
211,490,1,0,152
212,497,1,0,152
213,509,1,0,152
214,509,1,0,152
215,509,1,0,152
216,509,1,0,152
217,509,1,0,152
218,509,1,0,152
219,509,1,0,152
220,509,1,0,186
221,509,1,0,186
222,509,1,0,186
223,509,1,0,186
224,509,1,0,186
225,509,1,0,186
226,509,1,0,186
227,509,1,0,186
228,509,1,0,186
229,509,1,0,186
230,509,1,0,235
231,509,1,0,235
232,509,1,0,235
233,509,1,0,235
234,509,1,0,235
235,509,1,0,235
236,509,1,0,235
237,509,1,0,235
238,509,1,0,235
239,509,1,0,235
240,509,1,0,272
241,509,1,0,272
242,509,1,0,272
243,509,1,0,272
244,509,1,0,272
245,509,1,0,272
246,509,1,0,272
247,509,1,0,272
248,509,1,0,272
249,509,1,0,272
250,509,1,0,308
251,509,1,0,308
252,509,1,0,308
253,509,1,0,308
254,509,1,0,308
255,509,1,0,308
256,509,1,0,308
257,509,1,0,308
258,509,1,0,308
259,509,1,0,308
260,509,1,0,324
261,509,1,0,324
262,509,1,0,324
263,509,1,0,324
264,509,1,0,324
265,509,1,0,324
266,509,1,0,324
267,509,1,0,324
268,509,1,0,324
269,509,1,0,324
270,509,1,0,333
271,509,1,0,333
272,509,1,0,333
273,509,1,0,333
274,509,1,0,333
275,509,1,0,333
276,509,1,0,333
277,509,1,0,333
278,509,1,0,333
279,509,1,0,333
280,509,1,0,343
281,509,1,0,343
282,509,1,0,343
283,509,1,0,343
284,509,1,0,343
285,509,1,0,343
286,509,1,0,343
287,509,1,0,343
288,509,1,0,343
289,509,1,0,343
290,509,1,0,350
291,509,1,0,350
292,509,1,0,350
293,509,1,0,350
294,509,1,0,350
295,509,1,0,350
296,509,1,0,350
297,509,1,0,350
298,509,1,0,350
299,509,1,0,350
300,509,1,0,357
301,509,1,0,357
302,509,1,0,357
303,509,1,0,357
304,509,1,0,357
305,509,1,0,357
306,509,1,0,357
307,509,1,0,357
308,509,1,0,357
309,509,1,0,357
310,509,1,0,361
311,509,1,0,361
312,509,1,0,361
313,509,1,0,361
314,509,1,0,361
315,509,1,0,361
316,509,1,0,361
317,509,1,0,361
318,509,1,0,361
319,509,1,0,361
320,509,1,0,365
321,509,1,0,365
322,509,1,0,365
323,509,1,0,365
324,509,1,0,365
325,509,1,0,365
326,509,1,0,365
327,509,1,0,365
328,509,1,0,365
329,509,1,0,365
330,509,1,0,369
331,509,1,0,369
332,509,1,0,369
333,509,1,0,369
334,509,1,0,369
335,509,1,0,369
336,509,1,0,369
337,509,1,0,369
338,509,1,0,369
339,509,1,0,369
340,509,1,0,372
341,509,1,0,372
342,509,1,0,372
343,509,1,0,372
344,509,1,0,372
345,509,1,0,372
346,509,1,0,372
347,509,1,0,372
348,509,1,0,372
349,509,1,0,372
350,509,1,0,373
351,509,1,0,373
352,509,1,0,373
353,509,1,0,373
354,509,1,0,373
355,508,2,0,372
356,508,2,0,372
357,508,2,0,372
358,508,2,0,372
359,508,2,0,372
360,508,2,0,373
361,508,2,0,373
362,508,2,0,373
363,508,2,0,373
364,508,2,0,373
365,508,2,0,373
366,508,2,0,373
367,508,2,0,373
368,508,2,0,373
369,508,2,0,373
370,507,3,0,374
371,507,3,0,374
372,506,4,0,373
373,506,4,0,373
374,506,4,0,373
375,505,5,0,373
376,505,5,0,373
377,505,5,0,373
378,505,5,0,373
379,504,6,0,372
380,504,6,0,372
381,504,6,0,372
382,504,6,0,372
383,504,6,0,372
384,504,6,0,372
385,504,6,0,372
386,504,6,0,372
387,503,7,0,372
388,503,7,0,372
389,503,7,0,372
390,503,7,0,373
391,502,8,0,373
392,502,8,0,373
393,502,8,0,373
394,502,8,0,373
395,502,8,0,373
396,502,8,0,373
397,501,9,0,373
398,501,9,0,373
399,500,10,0,372
400,500,10,0,372
401,500,10,0,372
402,500,10,0,372
403,500,10,0,372
404,500,10,0,372
405,500,10,0,372
406,500,10,0,372
407,499,11,0,371
408,518,11,0,371
409,517,12,0,370
410,516,12,1,371
411,514,14,1,369
412,514,14,1,369
413,513,15,1,368
414,511,17,1,367
415,510,18,1,367
416,510,18,1,367
417,509,19,1,366
418,508,20,1,365
419,508,20,1,365
420,508,20,1,365
421,508,20,1,365
422,505,22,2,362
423,504,23,2,361
424,503,24,2,361
425,502,25,2,360
