,infected,recovered,fatalities,infected_known,susceptible,severity0,severity1,severity2,positive,number_of_tests
0,0,0,0,0,2000,0,0,0,0.0,0.0
1,0,0,0,0,2000,0,0,0,0.0,0.0
2,0,0,0,0,2000,0,0,0,0.0,0.0
3,0,0,0,0,2000,0,0,0,0.0,0.0
4,0,0,0,0,2000,0,0,0,0.0,0.0
5,0,0,0,0,2000,0,0,0,0.0,0.0
6,5,0,0,0,1995,0,0,0,0.0,0.0
7,5,0,0,0,1995,0,0,0,0.0,0.0
8,5,0,0,0,1995,0,0,0,0.0,0.0
9,5,0,0,0,1995,0,0,0,0.0,0.0
10,5,0,0,0,1995,0,0,0,0.0,0.0
11,5,0,0,0,1995,0,0,0,0.0,0.0
12,5,0,0,0,1995,0,0,0,0.0,0.0
13,5,0,0,0,1995,0,0,0,0.0,0.0
14,5,0,0,0,1995,0,0,0,0.0,0.0
15,5,0,0,0,1995,0,0,0,0.0,0.0
16,5,0,0,0,1995,0,0,0,0.0,0.0
17,5,0,0,0,1995,0,0,0,0.0,0.0
18,5,0,0,0,1995,0,0,0,0.0,0.0
19,5,0,0,0,1995,0,0,0,0.0,0.0
20,5,0,0,0,1995,0,0,0,0.0,0.0
21,5,0,0,0,1995,0,0,0,0.0,0.0
22,5,0,0,0,1995,0,0,0,0.0,0.0
23,5,0,0,0,1995,0,0,0,0.0,0.0
24,5,0,0,0,1995,0,0,0,0.0,0.0
25,5,0,0,0,1995,5,0,0,0.0,0.0
26,8,0,0,0,1992,5,0,0,0.0,0.0
27,9,0,0,0,1991,5,0,0,0.0,0.0
28,11,0,0,0,1989,5,0,0,0.0,0.0
29,14,0,0,0,1986,5,0,0,0.0,0.0
30,15,0,0,0,1985,5,0,0,0.0,0.0
31,19,0,0,0,1981,5,0,0,0.0,0.0
32,21,0,0,0,1979,5,0,0,0.0,0.0
33,24,0,0,0,1976,5,0,0,0.0,0.0
34,25,0,0,0,1975,5,0,0,0.0,0.0
35,29,0,0,0,1971,5,0,0,0.0,0.0
36,29,0,0,0,1971,5,0,0,0.0,0.0
37,32,0,0,0,1968,5,0,0,0.0,0.0
38,33,0,0,0,1967,5,0,0,0.0,0.0
39,34,0,0,0,1966,5,0,0,0.0,0.0
40,35,0,0,0,1965,5,0,0,0.0,0.0
41,37,0,0,0,1963,5,0,0,0.0,0.0
42,38,0,0,0,1962,5,0,0,0.0,0.0
