,infected,recovered,fatalities,infected_known
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,5,0,0,0
7,5,0,0,0
8,5,0,0,0
9,5,0,0,0
10,5,0,0,0
11,8,0,0,0
12,13,0,0,0
13,16,0,0,0
14,18,0,0,0
15,20,0,0,0
16,23,0,0,0
17,23,0,0,0
18,25,0,0,0
19,34,0,0,0
20,42,0,0,0
21,53,0,0,0
22,62,0,0,0
23,70,0,0,0
24,75,0,0,0
25,75,0,0,0
26,87,0,0,0
27,99,0,0,0
28,110,0,0,0
29,116,0,0,0
30,119,0,0,3
31,125,0,0,3
32,135,0,0,3
33,144,0,0,3
34,150,0,0,3
35,162,0,0,3
36,169,0,0,3
37,172,0,0,3
38,176,0,0,3
39,184,0,0,3
40,192,1,0,7
41,198,1,0,7
42,202,1,0,7
43,207,1,0,7
44,213,1,0,7
45,221,1,0,7
46,225,1,0,7
47,236,1,0,7
48,240,1,0,7
49,247,1,0,7
50,251,1,0,31
51,253,1,0,31
52,259,1,0,31
53,261,1,0,31
54,266,1,0,31
55,270,1,0,31
56,281,1,0,31
57,282,1,0,31
58,287,1,0,31
59,290,1,0,31
60,294,1,0,58
61,296,1,0,58
62,301,2,0,58
63,303,2,0,58
64,308,2,0,58
65,310,2,0,58
66,311,2,0,58
67,313,2,0,58
68,317,2,0,58
69,321,2,0,58
70,328,2,0,96
71,331,2,0,96
72,332,2,0,96
73,335,2,0,96
74,338,2,0,96
75,340,2,0,96
76,346,2,0,96
77,352,2,0,96
78,354,2,0,96
79,356,2,0,96
80,357,2,0,122
81,361,2,0,122
82,365,2,0,122
83,367,2,0,122
84,371,2,0,122
85,376,2,0,122
86,380,2,0,122
87,382,2,0,122
88,386,2,0,122
89,389,2,0,122
90,392,2,0,163
91,394,2,0,163
92,397,2,0,163
93,400,2,0,163
94,404,2,0,163
95,410,2,0,163
96,413,2,0,163
97,417,2,0,163
98,421,2,0,163
99,422,2,0,163
100,423,2,0,183
101,426,2,0,183
102,432,2,0,183
103,439,2,0,183
104,441,2,0,183
105,450,2,0,183
106,455,2,0,183
107,455,2,0,183
108,460,2,0,183
109,465,2,0,183
110,466,2,0,213
111,470,2,0,213
112,472,2,0,213
113,475,2,0,213
114,478,2,0,213
115,481,2,0,213
116,485,2,0,213
117,486,2,0,213
118,494,2,0,213
119,499,2,0,213
120,507,2,0,242
121,510,2,0,242
122,511,2,0,242
123,516,2,0,242
124,522,2,0,242
125,530,2,0,242
126,538,2,0,242
127,541,2,0,242
128,544,2,0,242
129,552,2,0,242
130,557,2,0,275
131,560,2,0,275
132,561,2,0,275
133,564,2,0,275
134,569,2,0,275
135,574,2,0,275
136,578,2,0,275
137,584,2,0,275
138,585,2,0,275
139,590,2,0,275
140,592,2,0,303
141,597,2,0,303
142,601,2,0,303
143,605,2,0,303
144,606,2,0,303
145,614,2,0,303
146,617,2,0,303
147,621,2,0,303
148,624,2,0,303
149,626,2,0,303
150,630,2,0,344
151,633,2,0,344
152,638,2,0,344
153,641,2,0,344
154,644,2,0,344
155,645,2,0,344
156,646,2,0,344
157,650,2,0,344
158,651,2,0,344
159,652,2,0,344
160,656,2,0,371
161,661,2,0,371
162,668,2,0,371
163,672,2,0,371
164,678,2,0,371
165,684,2,0,371
166,685,2,0,371
167,687,2,0,371
168,693,2,0,371
169,699,2,0,371
170,707,2,0,405
171,710,2,0,405
172,717,2,0,405
173,724,2,0,405
174,728,2,0,405
175,734,2,0,405
176,737,2,0,405
177,742,2,0,405
178,750,2,0,405
179,752,2,0,405
180,757,2,0,424
181,761,2,0,424
182,765,2,0,424
183,774,2,0,424
184,779,2,0,424
185,783,2,0,424
186,790,2,0,424
187,796,2,0,424
188,800,2,0,424
189,804,2,0,424
190,807,2,0,454
191,814,2,0,454
192,823,2,0,454
193,830,3,0,454
194,835,3,0,454
195,841,3,0,454
196,845,3,0,454
197,847,3,0,454
198,859,3,0,454
199,867,3,0,454
200,872,3,0,492
201,875,3,0,492
202,880,3,0,492
203,881,3,0,492
204,887,3,0,492
205,890,3,0,492
206,898,3,0,492
207,904,3,0,492
208,907,3,0,492
209,911,3,0,492
210,918,3,0,524
211,923,3,0,524
212,924,3,0,524
213,929,3,0,524
214,930,3,0,524
215,933,3,0,524
216,934,3,0,524
217,937,3,0,524
218,939,3,0,524
219,942,3,0,524
220,944,3,0,552
221,944,3,0,552
222,944,4,0,551
223,947,4,0,551
224,951,4,0,551
225,954,4,0,551
226,956,4,0,551
227,959,4,0,551
228,962,4,0,551
229,962,4,0,551
230,963,4,0,602
231,965,4,0,602
232,967,4,0,602
233,968,4,0,602
234,970,4,0,602
235,973,4,0,602
236,974,4,0,602
237,975,4,0,602
238,979,4,0,602
239,980,4,0,602
240,981,4,0,633
241,982,5,0,633
242,982,5,0,633
243,984,5,0,633
244,985,5,0,633
245,987,5,0,633
246,987,5,0,633
247,988,5,0,633
248,988,5,0,633
249,988,5,0,633
250,987,6,0,658
251,987,6,0,658
252,988,6,0,658
253,988,6,0,658
254,988,6,0,658
255,989,6,0,658
256,989,6,0,658
257,989,6,0,658
258,991,6,0,658
259,990,7,0,657
260,990,7,0,685
261,990,7,0,685
262,990,7,0,685
263,990,7,0,685
264,991,7,0,685
265,992,7,0,685
266,992,7,0,685
267,992,7,0,685
268,992,7,0,685
269,992,7,0,685
270,992,7,0,706
271,992,7,0,706
272,992,7,0,706
273,991,8,0,705
274,990,9,0,704
275,990,9,0,704
276,989,10,0,703
277,989,10,0,703
278,989,10,0,703
279,989,10,0,703
280,989,10,0,716
281,989,10,0,716
282,990,10,0,716
283,987,13,0,714
284,987,13,0,714
285,986,14,0,713
286,985,15,0,712
287,983,17,0,710
288,983,17,0,710
289,983,17,0,710
290,983,17,0,721
291,982,18,0,720
292,982,18,0,720
293,982,18,0,720
294,981,19,0,719
295,981,19,0,719
296,981,19,0,719
297,980,20,0,718
298,979,21,0,717
299,979,21,0,717
300,978,22,0,720
301,977,22,1,719
302,977,22,1,719
303,977,22,1,719
304,977,22,1,719
305,974,25,1,716
306,973,26,1,715
307,973,26,1,715
308,973,26,1,715
309,973,26,1,715
310,973,26,1,718
311,973,26,1,718
312,972,27,1,717
313,971,28,1,716
314,971,28,1,716
315,970,29,1,716
316,967,31,2,714
317,967,31,2,714
318,964,33,3,712
319,963,34,3,711
320,962,35,3,716
321,962,35,3,716
322,960,36,4,714
323,960,36,4,714
324,960,36,4,714
325,960,36,4,714
326,959,37,4,713
327,957,39,4,711
328,957,39,4,711
329,956,40,4,710
330,953,43,4,712
331,952,44,4,712
332,951,45,4,711
333,946,50,4,707
334,943,53,4,705
335,943,53,4,705
336,942,54,4,704
337,941,55,4,703
338,937,58,5,699
339,935,60,5,698
340,935,60,5,704
341,934,61,5,703
342,934,61,5,703
343,933,62,5,702
344,930,65,5,701
345,927,68,5,699
346,925,69,6,697
347,920,73,7,693
348,914,79,7,689
349,908,85,7,685
350,905,88,7,685
351,902,91,7,683
352,901,92,7,683
353,899,94,7,682
354,896,96,8,681
355,892,100,8,677
356,887,105,8,673
357,882,110,8,669
358,879,113,8,667
359,879,113,8,667
360,877,115,8,670
361,873,119,8,666
362,871,121,8,664
363,868,124,8,661
364,867,125,8,661
365,862,130,8,658
366,859,133,8,655
367,857,135,8,653
368,856,136,8,652
369,855,137,8,651
370,850,142,8,651
371,850,142,8,651
372,846,146,8,647
373,839,152,9,643
374,835,156,9,641
375,833,157,10,639
376,828,162,10,635
377,826,163,11,633
378,824,165,11,632
379,823,166,11,632
380,819,170,11,629
381,815,173,12,627
382,811,177,12,624
383,806,182,12,619
384,806,182,12,619
385,805,183,12,618
386,801,187,12,615
387,799,189,12,613
388,795,193,12,611
389,794,194,12,611
390,790,198,12,609
391,787,200,13,606
392,784,203,13,603
393,780,207,13,601
394,778,209,13,599
395,776,211,13,597
396,772,215,13,594
397,768,219,13,591
398,765,222,13,590
399,761,225,14,586
400,757,229,14,584
401,753,233,14,582
402,751,235,14,581
403,746,240,14,578
404,738,246,16,571
405,735,249,16,568
406,730,253,17,565
407,728,254,18,563
408,725,257,18,561
409,718,262,20,558
410,713,266,21,554
411,711,268,21,554
412,705,274,21,549
413,702,276,22,546
414,700,278,22,544
415,698,280,22,542
416,694,284,22,539
417,690,288,22,536
418,688,290,22,535
419,685,293,22,533
420,684,294,22,533
421,678,299,23,527
422,675,302,23,525
423,670,307,23,521
424,667,309,24,519
425,662,312,26,515
