,infected,recovered,fatalities,infected_known,susceptible,severity0,severity1,severity2,positive,number_of_tests
0,0,0,0,0,2000,0,0,0,,0.0
1,0,0,0,0,2000,0,0,0,,0.0
2,0,0,0,0,2000,0,0,0,,0.0
3,0,0,0,0,2000,0,0,0,,0.0
4,0,0,0,0,2000,0,0,0,,0.0
5,0,0,0,0,2000,0,0,0,,0.0
6,5,0,0,0,1995,0,0,0,,0.0
7,5,0,0,0,1995,0,0,0,,0.0
8,5,0,0,0,1995,0,0,0,,0.0
9,5,0,0,0,1995,0,0,0,,0.0
10,5,0,0,0,1995,0,0,0,,0.0
11,5,0,0,0,1995,0,0,0,,0.0
12,5,0,0,0,1995,0,0,0,,0.0
13,5,0,0,0,1995,0,0,0,,0.0
14,5,0,0,0,1995,0,0,0,,0.0
15,5,0,0,0,1995,0,0,0,,0.0
16,5,0,0,0,1995,0,0,0,,0.0
17,5,0,0,0,1995,0,0,0,,0.0
18,5,0,0,0,1995,0,0,0,,0.0
19,5,0,0,0,1995,0,0,0,,0.0
20,5,0,0,0,1995,0,0,0,,0.0
21,5,0,0,0,1995,0,0,0,,0.0
22,5,0,0,0,1995,0,0,0,,0.0
23,5,0,0,0,1995,0,0,0,,0.0
24,5,0,0,0,1995,0,0,0,,0.0
25,5,0,0,0,1995,5,0,0,,0.0
26,7,0,0,0,1993,5,0,0,,0.0
27,7,0,0,0,1993,5,0,0,,0.0
28,10,0,0,0,1990,5,0,0,,0.0
29,11,0,0,0,1989,5,0,0,,0.0
30,11,0,0,0,1989,5,0,0,,0.0
31,12,0,0,0,1988,5,0,0,,0.0
32,13,0,0,0,1987,5,0,0,,0.0
33,15,0,0,0,1985,5,0,0,,0.0
34,15,0,0,0,1985,5,0,0,,0.0
35,16,0,0,0,1984,5,0,0,,0.0
36,18,0,0,0,1982,5,0,0,,0.0
37,18,0,0,0,1982,5,0,0,,0.0
38,18,0,0,0,1982,5,0,0,,0.0
39,18,0,0,0,1982,5,0,0,,0.0
40,18,0,0,0,1982,5,0,0,,0.0
41,19,0,0,0,1981,5,0,0,,0.0
42,20,0,0,0,1980,5,0,0,,0.0
43,20,0,0,0,1980,5,0,0,,0.0
44,20,0,0,0,1980,5,0,0,,0.0
45,23,0,0,0,1977,5,0,0,,0.0
46,23,0,0,0,1977,7,0,0,,0.0
47,24,0,0,0,1976,7,0,0,,0.0
48,24,0,0,0,1976,10,0,0,,0.0
49,28,0,0,0,1972,11,0,0,,0.0
50,29,0,0,0,1971,11,0,0,,0.0
51,31,0,0,0,1969,12,0,0,,0.0
52,31,0,0,0,1969,13,0,0,,0.0
53,37,0,0,0,1963,15,0,0,,0.0
54,41,0,0,0,1959,15,0,0,,0.0
55,45,0,0,0,1955,16,0,0,,0.0
56,48,0,0,0,1952,18,0,0,,0.0
57,51,0,0,0,1949,18,0,0,,0.0
58,54,0,0,0,1946,18,0,0,,0.0
59,55,0,0,0,1945,18,0,0,,0.0
60,56,0,0,0,1944,18,0,0,,0.0
61,60,0,0,0,1940,19,0,0,,0.0
62,65,0,0,0,1935,20,0,0,,0.0
63,67,0,0,0,1933,20,0,0,,0.0
64,76,0,0,0,1924,20,0,0,,0.0
65,78,0,0,0,1922,23,0,0,,0.0
66,82,0,0,0,1918,23,0,0,,0.0
67,85,0,0,0,1915,24,0,0,,0.0
68,91,0,0,0,1909,24,0,0,,0.0
69,97,0,0,0,1903,28,0,0,,0.0
70,102,0,0,2,1898,29,0,0,2.0,10.0
71,103,0,0,2,1897,31,0,0,,
72,103,0,0,2,1897,31,0,0,,
73,103,0,0,2,1897,37,0,0,,
74,104,0,0,2,1896,41,0,0,,
75,105,0,0,2,1895,40,5,0,,
76,107,0,0,2,1893,43,5,0,,
77,110,0,0,2,1890,46,5,0,,
78,112,0,0,2,1888,49,5,0,,
79,114,0,0,2,1886,50,5,0,,
80,116,0,0,10,1884,51,5,0,8.0,20.0
81,118,0,0,10,1882,55,5,0,,
82,119,0,0,10,1881,60,5,0,,
83,121,0,0,10,1879,62,5,0,,
84,123,0,0,10,1877,71,5,0,,
85,125,0,0,10,1875,73,5,0,,
86,130,0,0,10,1870,77,5,0,,
87,132,0,0,10,1868,80,5,0,,
88,133,0,0,10,1867,86,5,0,,
89,137,0,0,10,1863,92,5,0,,
90,141,0,0,11,1859,97,5,0,1.0,50.0
91,145,0,0,11,1855,98,5,0,,
92,147,0,0,11,1853,98,5,0,,
93,151,0,0,11,1849,98,5,0,,
94,154,0,0,11,1846,99,5,0,,
95,156,0,0,11,1844,100,5,0,,
96,156,0,0,11,1844,100,7,0,,
97,158,0,0,11,1842,103,7,0,,
98,161,0,0,11,1839,103,9,0,,
99,167,0,0,11,1833,104,10,0,,
100,174,0,0,16,1826,106,10,0,5.0,36.0
101,174,0,0,16,1826,108,10,0,,
102,176,0,0,16,1824,108,11,0,,
103,177,0,0,16,1823,109,12,0,,
104,180,0,0,16,1820,111,12,0,,
105,181,0,0,16,1819,113,12,0,,
106,184,0,0,16,1816,117,13,0,,
107,189,0,0,16,1811,119,13,0,,
108,189,0,0,16,1811,120,13,0,,
109,192,0,0,16,1808,124,13,0,,
110,197,0,0,25,1803,128,13,0,9.0,46.0
111,198,0,0,25,1802,131,14,0,,
112,202,0,0,25,1798,132,15,0,,
