,infected,recovered,fatalities,infected_known,susceptible
0,0,0,0,0,2000
1,0,0,0,0,2000
2,0,0,0,0,2000
3,0,0,0,0,2000
4,0,0,0,0,2000
5,0,0,0,0,2000
6,5,0,0,0,1995
7,5,0,0,0,1995
8,5,0,0,0,1995
9,5,0,0,0,1995
10,5,0,0,0,1995
11,5,0,0,0,1995
12,5,0,0,0,1995
13,5,0,0,0,1995
14,5,0,0,0,1995
15,5,0,0,0,1995
16,5,0,0,0,1995
17,5,0,0,0,1995
18,5,0,0,0,1995
19,5,0,0,0,1995
20,5,0,0,0,1995
21,5,0,0,0,1995
22,5,0,0,0,1995
23,5,0,0,0,1995
24,5,0,0,0,1995
25,5,0,0,0,1995
26,9,0,0,0,1991
27,12,0,0,0,1988
28,14,0,0,0,1986
29,14,0,0,0,1986
30,14,0,0,0,1986
31,16,0,0,0,1984
32,16,0,0,0,1984
33,16,0,0,0,1984
34,17,0,0,0,1983
35,17,0,0,0,1983
36,17,0,0,0,1983
37,17,0,0,0,1983
38,18,0,0,0,1982
39,19,0,0,0,1981
40,19,0,0,0,1981
41,19,0,0,0,1981
42,20,0,0,0,1980
43,20,0,0,0,1980
44,20,0,0,0,1980
45,20,0,0,0,1980
46,20,0,0,0,1980
47,21,0,0,0,1979
48,24,0,0,0,1976
49,26,0,0,0,1974
50,29,0,0,0,1971
51,30,0,0,0,1970
52,33,0,0,0,1967
53,37,0,0,0,1963
54,41,0,0,0,1959
55,44,0,0,0,1956
56,44,0,0,0,1956
57,46,0,0,0,1954
58,47,0,0,0,1953
59,52,0,0,0,1948
60,55,0,0,0,1945
61,58,0,0,0,1942
62,63,0,0,0,1937
63,65,0,0,0,1935
64,70,0,0,0,1930
65,76,0,0,0,1924
66,78,0,0,0,1922
67,87,0,0,0,1913
68,90,0,0,0,1910
69,95,0,0,0,1905
70,100,0,0,0,1900
71,100,0,0,0,1900
72,101,0,0,0,1899
73,102,0,0,0,1898
74,102,0,0,0,1898
75,103,0,0,0,1897
76,104,0,0,0,1896
77,106,0,0,0,1894
78,108,0,0,0,1892
79,109,0,0,0,1891
80,110,0,0,2,1890
81,111,0,0,2,1889
82,111,0,0,2,1889
83,111,0,0,2,1889
84,112,0,0,2,1888
85,116,0,0,2,1884
86,121,0,0,2,1879
87,121,0,0,2,1879
88,124,0,0,2,1876
89,126,0,0,2,1874
90,129,0,0,5,1871
91,130,0,0,5,1870
92,130,0,0,5,1870
93,132,0,0,5,1868
94,132,0,0,5,1868
95,134,0,0,5,1866
96,135,0,0,5,1865
97,136,0,0,5,1864
98,139,0,0,5,1861
99,141,0,0,5,1859
100,145,0,0,6,1855
101,147,0,0,6,1853
102,149,0,0,6,1851
103,151,0,0,6,1849
104,153,0,0,6,1847
105,154,0,0,6,1846
106,154,0,0,6,1846
107,154,0,0,6,1846
108,154,0,0,6,1846
109,154,0,0,6,1846
110,157,0,0,10,1843
111,159,0,0,10,1841
112,159,0,0,10,1841
113,159,0,0,10,1841
114,161,0,0,10,1839
115,161,0,0,10,1839
116,162,0,0,10,1838
117,162,0,0,10,1838
118,163,0,0,10,1837
119,164,0,0,10,1836
120,166,0,0,13,1834
121,166,0,0,13,1834
122,167,0,0,13,1833
123,167,0,0,13,1833
124,169,0,0,13,1831
125,169,0,0,13,1831
126,171,0,0,13,1829
127,171,0,0,13,1829
128,173,0,0,13,1827
129,174,0,0,13,1826
130,177,0,0,20,1823
131,178,0,0,20,1822
132,180,0,0,20,1820
133,180,0,0,20,1820
134,180,0,0,20,1820
135,182,0,0,20,1818
136,183,0,0,20,1817
137,183,0,0,20,1817
138,185,0,0,20,1815
139,186,0,0,20,1814
140,186,0,0,30,1814
141,186,0,0,30,1814
142,187,0,0,30,1813
143,187,0,0,30,1813
144,190,0,0,30,1810
145,191,0,0,30,1809
146,191,0,0,30,1809
147,194,0,0,30,1806
148,195,0,0,30,1805
149,196,0,0,30,1804
150,198,0,0,48,1802
151,198,0,0,48,1802
152,198,0,0,48,1802
153,200,0,0,48,1800
154,200,0,0,48,1800
155,200,0,0,48,1800
156,201,0,0,48,1799
157,201,0,0,48,1799
158,201,0,0,48,1799
159,204,0,0,48,1796
160,204,0,0,61,1796
161,204,0,0,61,1796
162,206,0,0,61,1794
163,206,0,0,61,1794
164,206,0,0,61,1794
165,208,0,0,61,1792
166,208,0,0,61,1792
167,209,0,0,61,1791
168,209,0,0,61,1791
169,209,0,0,61,1791
170,209,0,0,76,1791
171,209,0,0,76,1791
172,209,0,0,76,1791
173,209,0,0,76,1791
174,210,0,0,76,1790
175,210,0,0,76,1790
176,212,0,0,76,1788
177,212,0,0,76,1788
178,212,0,0,76,1788
179,213,0,0,76,1787
180,213,0,0,87,1787
181,213,0,0,87,1787
182,213,0,0,87,1787
183,214,0,0,87,1786
184,214,0,0,87,1786
185,214,0,0,87,1786
186,214,0,0,87,1786
187,214,0,0,87,1786
188,214,0,0,87,1786
189,214,0,0,87,1786
190,214,0,0,96,1786
191,214,0,0,96,1786
192,214,0,0,96,1786
193,214,0,0,96,1786
194,214,0,0,96,1786
195,214,0,0,96,1786
196,214,0,0,96,1786
197,214,0,0,96,1786
198,215,0,0,96,1785
199,215,0,0,96,1785
200,215,0,0,110,1785
201,215,0,0,110,1785
202,215,0,0,110,1785
203,215,0,0,110,1785
204,216,0,0,110,1784
205,216,0,0,110,1784
206,216,0,0,110,1784
207,216,0,0,110,1784
208,216,0,0,110,1784
209,216,0,0,110,1784
210,216,0,0,119,1784
211,216,0,0,119,1784
212,216,0,0,119,1784
213,216,0,0,119,1784
214,216,0,0,119,1784
215,216,0,0,119,1784
216,216,0,0,119,1784
217,216,0,0,119,1784
218,216,0,0,119,1784
219,216,0,0,119,1784
220,216,0,0,126,1784
221,216,0,0,126,1784
222,216,0,0,126,1784
223,216,0,0,126,1784
224,216,0,0,126,1784
225,216,0,0,126,1784
226,216,0,0,126,1784
227,216,0,0,126,1784
228,217,0,0,126,1783
229,217,0,0,126,1783
230,217,0,0,129,1783
231,217,0,0,129,1783
232,217,0,0,129,1783
233,217,0,0,129,1783
234,217,0,0,129,1783
235,217,0,0,129,1783
236,217,0,0,129,1783
237,217,0,0,129,1783
238,217,0,0,129,1783
239,217,0,0,129,1783
240,217,0,0,135,1783
241,217,0,0,135,1783
242,217,0,0,135,1783
243,217,0,0,135,1783
244,217,0,0,135,1783
245,217,0,0,135,1783
246,217,0,0,135,1783
247,217,0,0,135,1783
248,217,0,0,135,1783
249,217,0,0,135,1783
250,217,0,0,141,1783
251,217,0,0,141,1783
252,217,0,0,141,1783
253,217,0,0,141,1783
254,217,0,0,141,1783
255,217,0,0,141,1783
256,217,0,0,141,1783
257,217,0,0,141,1783
258,217,1,0,140,1782
259,217,1,0,140,1782
260,217,1,0,142,1782
261,217,1,0,142,1782
262,217,1,0,142,1782
263,217,1,0,142,1782
264,217,1,0,142,1782
265,217,1,0,142,1782
266,217,1,0,142,1782
267,217,1,0,142,1782
268,217,1,0,142,1782
269,217,1,0,142,1782
270,217,1,0,143,1782
271,217,1,0,143,1782
272,217,1,0,143,1782
273,217,1,0,143,1782
274,217,1,0,143,1782
275,217,1,0,143,1782
276,217,1,0,143,1782
277,217,1,0,143,1782
278,217,1,0,143,1782
279,217,1,0,143,1782
280,217,1,0,145,1782
281,217,1,0,145,1782
282,217,1,0,145,1782
283,216,2,0,144,1782
284,216,2,0,144,1782
285,216,2,0,144,1782
286,217,2,0,144,1781
287,217,2,0,144,1781
288,217,2,0,144,1781
289,217,2,0,144,1781
290,217,2,0,146,1781
291,216,3,0,145,1781
292,216,3,0,145,1781
293,216,3,0,145,1781
294,216,3,0,145,1781
295,215,4,0,144,1781
296,215,4,0,144,1781
297,215,4,0,144,1781
298,215,4,0,144,1781
299,215,4,0,144,1781
300,215,4,0,147,1781
301,215,4,0,147,1781
302,215,4,0,147,1781
303,215,4,0,147,1781
304,215,4,0,147,1781
305,215,4,0,147,1781
306,215,4,0,147,1781
307,215,4,0,147,1781
308,215,4,0,147,1781
309,215,4,0,147,1781
310,215,4,0,147,1781
311,215,4,0,147,1781
312,215,4,0,147,1781
313,215,4,0,147,1781
314,215,4,0,147,1781
315,215,4,0,147,1781
316,215,4,0,147,1781
317,215,4,0,147,1781
318,215,4,0,147,1781
319,215,4,0,147,1781
320,214,5,0,150,1781
321,213,6,0,149,1781
322,213,6,0,149,1781
323,213,6,0,149,1781
324,212,7,0,148,1781
325,212,7,0,148,1781
326,212,7,0,148,1781
327,211,8,0,147,1781
328,210,9,0,146,1781
329,210,9,0,146,1781
330,210,9,0,147,1781
331,210,9,0,147,1781
332,210,9,0,147,1781
333,210,9,0,147,1781
334,210,9,0,147,1781
335,210,9,0,147,1781
336,210,9,0,147,1781
337,208,10,1,145,1781
338,208,10,1,145,1781
339,205,13,1,143,1781
340,205,13,1,144,1781
341,205,13,1,144,1781
342,205,13,1,144,1781
343,205,13,1,144,1781
344,205,13,1,144,1781
345,204,14,1,143,1781
346,204,14,1,143,1781
347,202,16,1,141,1781
348,202,16,1,141,1781
349,201,17,1,140,1781
350,200,18,1,142,1781
351,198,20,1,140,1781
352,198,20,1,140,1781
353,196,22,1,138,1781
354,195,23,1,137,1781
355,195,23,1,137,1781
356,194,24,1,137,1781
357,194,24,1,137,1781
358,193,25,1,136,1781
359,192,26,1,135,1781
360,192,26,1,137,1781
361,191,27,1,137,1781
362,191,27,1,137,1781
363,191,27,1,137,1781
364,191,27,1,137,1781
365,190,28,1,137,1781
366,189,29,1,136,1781
367,187,31,1,134,1781
368,185,32,2,132,1781
369,185,32,2,132,1781
370,185,32,2,133,1781
371,185,32,2,133,1781
372,183,34,2,133,1781
373,183,34,2,133,1781
374,183,34,2,133,1781
375,183,34,2,133,1781
376,182,35,2,133,1781
377,180,37,2,132,1781
378,180,37,2,132,1781
379,180,37,2,132,1781
380,179,38,2,131,1781
381,177,40,2,129,1781
382,176,41,2,129,1781
383,174,43,2,127,1781
384,173,44,2,127,1781
385,171,46,2,126,1781
386,170,47,2,125,1781
387,170,47,2,125,1781
388,167,49,3,122,1781
389,167,49,3,122,1781
390,167,49,3,122,1781
391,165,51,3,120,1781
392,165,51,3,120,1781
393,165,51,3,120,1781
394,163,53,3,119,1781
395,162,54,3,119,1781
396,161,55,3,119,1781
397,159,57,3,117,1781
398,159,57,3,117,1781
399,159,57,3,117,1781
400,159,57,3,117,1781
401,156,60,3,115,1781
402,156,60,3,115,1781
403,154,62,3,113,1781
404,154,62,3,113,1781
405,154,62,3,113,1781
406,152,64,3,112,1781
407,152,64,3,112,1781
408,151,65,3,112,1781
409,151,65,3,112,1781
410,150,66,3,112,1781
411,148,68,3,111,1781
412,146,70,3,109,1781
413,142,73,4,105,1781
414,141,74,4,105,1781
415,139,76,4,105,1781
416,137,77,5,103,1781
417,134,80,5,101,1781
418,134,80,5,101,1781
419,134,80,5,101,1781
420,133,81,5,100,1781
421,131,83,5,98,1781
422,129,85,5,96,1781
423,129,85,5,96,1781
424,124,89,6,93,1781
425,124,89,6,93,1781
426,124,89,6,93,1781
427,124,89,6,93,1781
428,124,89,6,93,1781
429,123,90,6,93,1781
430,121,92,6,94,1781
431,120,93,6,94,1781
432,119,94,6,93,1781
433,116,97,6,90,1781
434,114,99,6,88,1781
435,114,99,6,88,1781
436,112,101,6,86,1781
437,111,102,6,86,1781
438,111,102,6,86,1781
439,109,104,6,84,1781
440,109,104,6,84,1781
441,108,105,6,83,1781
442,104,109,6,79,1781
443,103,110,6,79,1781
444,103,110,6,79,1781
445,103,110,6,79,1781
446,102,111,6,78,1781
447,102,111,6,78,1781
448,102,111,6,78,1781
449,98,114,7,75,1781
450,96,116,7,74,1781
451,94,118,7,72,1781
452,92,120,7,71,1781
453,91,121,7,71,1781
454,90,122,7,70,1781
455,89,123,7,69,1781
456,88,124,7,68,1781
457,87,125,7,67,1781
458,87,125,7,67,1781
459,87,125,7,67,1781
460,81,131,7,65,1781
461,80,132,7,64,1781
462,79,133,7,63,1781
463,77,135,7,61,1781
464,76,136,7,60,1781
