,infected,recovered,fatalities,infected_known
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,1,0,0,0
52,1,0,0,0
53,1,0,0,0
54,1,0,0,0
55,1,0,0,0
56,1,0,0,0
57,1,0,0,0
58,1,0,0,0
59,1,0,0,0
60,1,0,0,0
61,1,0,0,0
62,1,0,0,0
63,1,0,0,0
64,1,0,0,0
65,1,0,0,0
66,1,0,0,0
67,1,0,0,0
68,1,0,0,0
69,1,0,0,0
70,1,0,0,0
71,2,0,0,0
72,2,0,0,0
73,2,0,0,0
74,2,0,0,0
75,2,0,0,0
76,2,0,0,0
77,2,0,0,0
78,2,0,0,0
79,2,0,0,0
80,2,0,0,0
81,2,0,0,0
82,2,0,0,0
83,2,0,0,0
84,2,0,0,0
85,2,0,0,0
86,2,0,0,0
87,2,0,0,0
88,2,0,0,0
89,2,0,0,0
90,2,0,0,0
91,2,0,0,0
92,2,0,0,0
93,2,0,0,0
94,2,0,0,0
95,2,0,0,0
96,2,0,0,0
97,2,0,0,0
98,2,0,0,0
99,2,0,0,0
100,2,0,0,0
101,2,0,0,0
102,3,0,0,0
103,3,0,0,0
104,3,0,0,0
105,3,0,0,0
106,3,0,0,0
107,3,0,0,0
108,3,0,0,0
109,3,0,0,0
110,3,0,0,0
111,3,0,0,0
112,3,0,0,0
113,4,0,0,0
114,4,0,0,0
115,4,0,0,0
116,4,0,0,0
117,4,0,0,0
118,4,0,0,0
119,4,0,0,0
120,4,0,0,0
121,5,0,0,0
122,5,0,0,0
123,5,0,0,0
124,5,0,0,0
125,5,0,0,0
126,5,0,0,0
127,5,0,0,0
128,5,0,0,0
129,5,0,0,0
130,6,0,0,0
131,6,0,0,0
132,6,0,0,0
133,6,0,0,0
134,7,0,0,0
135,7,0,0,0
136,7,0,0,0
137,7,0,0,0
138,8,0,0,0
139,8,0,0,0
140,8,0,0,0
141,9,0,0,0
142,10,0,0,0
143,12,0,0,0
144,12,0,0,0
145,12,0,0,0
146,13,0,0,0
147,13,0,0,0
148,13,0,0,0
149,13,0,0,0
150,13,0,0,0
151,13,0,0,0
152,13,0,0,0
153,13,0,0,0
154,13,0,0,0
155,13,0,0,0
156,15,0,0,0
157,18,0,0,0
158,18,0,0,0
159,20,0,0,0
160,22,0,0,0
161,23,0,0,0
162,23,0,0,0
163,24,0,0,0
164,26,0,0,0
165,27,0,0,0
166,29,0,0,0
167,29,0,0,0
168,30,0,0,0
169,31,0,0,0
170,31,0,0,3
171,33,0,0,3
172,34,0,0,3
173,35,0,0,3
174,35,0,0,3
175,39,0,0,3
176,39,0,0,3
177,40,0,0,3
178,41,0,0,3
179,41,0,0,3
180,46,0,0,5
181,48,0,0,5
182,48,0,0,5
183,49,0,0,5
184,51,0,0,5
185,51,0,0,5
186,52,0,0,5
187,54,0,0,5
188,57,0,0,5
189,58,0,0,5
190,61,0,0,11
191,61,0,0,11
192,61,0,0,11
193,62,0,0,11
194,62,0,0,11
195,66,0,0,11
196,67,0,0,11
197,69,0,0,11
198,71,0,0,11
199,72,0,0,11
200,72,0,0,19
201,72,0,0,19
202,75,0,0,19
203,77,0,0,19
204,79,0,0,19
205,80,0,0,19
206,81,0,0,19
207,82,0,0,19
208,85,0,0,19
209,89,0,0,19
210,91,0,0,28
211,93,0,0,28
212,94,0,0,28
213,97,0,0,28
214,98,0,0,28
215,98,0,0,28
216,99,0,0,28
217,101,0,0,28
218,101,0,0,28
219,101,0,0,28
220,103,0,0,33
221,104,0,0,33
222,105,0,0,33
223,106,0,0,33
224,106,0,0,33
225,108,0,0,33
226,110,0,0,33
227,111,0,0,33
228,111,0,0,33
229,112,0,0,33
230,112,0,0,44
231,113,0,0,44
232,115,0,0,44
233,116,0,0,44
234,116,0,0,44
235,117,0,0,44
236,117,0,0,44
237,119,0,0,44
238,120,0,0,44
239,122,0,0,44
240,124,0,0,51
241,129,0,0,51
242,134,0,0,51
243,134,0,0,51
244,136,0,0,51
245,137,0,0,51
246,138,0,0,51
247,138,0,0,51
248,140,0,0,51
249,141,0,0,51
250,142,0,0,59
251,143,0,0,59
252,144,0,0,59
253,145,0,0,59
254,148,0,0,59
255,149,0,0,59
256,151,0,0,59
257,153,0,0,59
258,154,0,0,59
259,155,0,0,59
260,156,0,0,70
261,159,0,0,70
262,163,0,0,70
263,166,0,0,70
264,168,0,0,70
265,170,0,0,70
266,170,0,0,70
267,173,0,0,70
268,174,0,0,70
269,177,0,0,70
270,180,0,0,81
271,182,0,0,81
272,184,0,0,81
273,184,0,0,81
274,192,0,0,81
275,192,0,0,81
276,196,0,0,81
277,196,0,0,81
278,198,0,0,81
279,200,0,0,81
280,201,0,0,89
281,203,0,0,89
282,204,0,0,89
283,205,0,0,89
284,205,0,0,89
285,205,0,0,89
286,208,0,0,89
287,208,0,0,89
288,208,0,0,89
289,211,0,0,89
290,212,0,0,96
291,215,0,0,96
292,217,0,0,96
293,218,0,0,96
294,220,0,0,96
295,222,0,0,96
296,224,0,0,96
297,229,0,0,96
298,231,0,0,96
299,233,0,0,96
300,234,0,0,114
301,236,0,0,114
302,237,0,0,114
303,239,0,0,114
304,241,0,0,114
305,241,0,0,114
306,243,0,0,114
307,243,0,0,114
308,244,0,0,114
309,246,0,0,114
310,248,0,0,131
311,248,0,0,131
312,252,0,0,131
313,252,0,0,131
314,252,0,0,131
315,252,0,0,131
316,252,0,0,131
317,252,0,0,131
318,252,0,0,131
319,252,0,0,131
320,252,0,0,148
321,252,0,0,148
322,252,0,0,148
323,252,0,0,148
324,252,0,0,148
325,252,0,0,148
326,252,0,0,148
327,252,0,0,148
328,252,0,0,148
329,252,0,0,148
330,252,0,0,157
331,252,0,0,157
332,252,0,0,157
333,252,0,0,157
334,252,0,0,157
335,252,0,0,157
336,252,0,0,157
337,252,0,0,157
338,252,0,0,157
339,252,0,0,157
340,252,0,0,167
341,252,0,0,167
342,251,1,0,166
343,251,1,0,166
344,251,1,0,166
345,251,1,0,166
346,251,1,0,166
347,251,1,0,166
348,251,1,0,166
349,251,1,0,166
350,251,1,0,175
351,251,1,0,175
352,251,1,0,175
353,251,1,0,175
354,251,1,0,175
355,251,1,0,175
356,251,1,0,175
357,251,1,0,175
358,251,1,0,175
359,251,1,0,175
360,251,1,0,179
361,251,1,0,179
362,251,1,0,179
363,251,1,0,179
364,251,1,0,179
365,251,1,0,179
366,251,1,0,179
367,251,1,0,179
368,251,1,0,179
369,251,1,0,179
370,251,1,0,183
371,251,1,0,183
372,251,1,0,183
373,251,1,0,183
374,251,1,0,183
375,251,1,0,183
376,251,1,0,183
377,251,1,0,183
378,251,1,0,183
379,251,1,0,183
380,251,1,0,185
381,251,1,0,185
382,251,1,0,185
383,251,1,0,185
384,251,1,0,185
385,251,1,0,185
386,251,1,0,185
387,251,1,0,185
388,251,1,0,185
389,251,1,0,185
390,251,1,0,186
391,251,1,0,186
392,251,1,0,186
393,251,1,0,186
394,251,1,0,186
395,251,1,0,186
396,251,1,0,186
397,251,1,0,186
398,251,1,0,186
399,251,1,0,186
400,251,1,0,187
401,251,1,0,187
402,251,1,0,187
403,251,1,0,187
404,251,1,0,187
405,251,1,0,187
406,251,1,0,187
407,251,1,0,187
408,251,1,0,187
409,251,1,0,187
410,251,1,0,189
411,251,1,0,189
412,251,1,0,189
413,251,1,0,189
414,251,1,0,189
415,251,1,0,189
416,250,2,0,188
417,250,2,0,188
418,250,2,0,188
419,250,2,0,188
420,250,2,0,190
421,250,2,0,190
422,250,2,0,190
423,250,2,0,190
424,250,2,0,190
425,250,2,0,190
