,infected,recovered,fatalities,infected_known
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,1,0,0,0
10,1,0,0,0
11,1,0,0,0
12,1,0,0,0
13,1,0,0,0
14,1,0,0,0
15,1,0,0,0
16,1,0,0,0
17,1,0,0,0
18,1,0,0,0
19,1,0,0,0
20,1,0,0,0
21,1,0,0,0
22,1,0,0,0
23,1,0,0,0
24,1,0,0,0
25,1,0,0,0
26,1,0,0,0
27,1,0,0,0
28,1,0,0,0
29,1,0,0,0
30,1,0,0,0
31,1,0,0,0
32,1,0,0,0
33,1,0,0,0
34,1,0,0,0
35,1,0,0,0
36,1,0,0,0
37,1,0,0,0
38,1,0,0,0
39,1,0,0,0
40,1,0,0,0
41,1,0,0,0
42,1,0,0,0
43,1,0,0,0
44,1,0,0,0
45,1,0,0,0
46,1,0,0,0
47,1,0,0,0
48,2,0,0,0
49,2,0,0,0
50,2,0,0,0
51,2,0,0,0
52,2,0,0,0
53,2,0,0,0
54,2,0,0,0
55,2,0,0,0
56,2,0,0,0
57,2,0,0,0
58,2,0,0,0
59,2,0,0,0
60,2,0,0,0
61,2,0,0,0
62,2,0,0,0
63,2,0,0,0
64,2,0,0,0
65,2,0,0,0
66,2,0,0,0
67,2,0,0,0
68,2,0,0,0
69,2,0,0,0
70,2,0,0,0
71,2,0,0,0
72,2,0,0,0
73,2,0,0,0
74,2,0,0,0
75,2,0,0,0
76,2,0,0,0
77,2,0,0,0
78,2,0,0,0
79,2,0,0,0
80,3,0,0,0
81,3,0,0,0
82,3,0,0,0
83,4,0,0,0
84,4,0,0,0
85,4,0,0,0
86,5,0,0,0
87,5,0,0,0
88,5,0,0,0
89,6,0,0,0
90,6,0,0,0
91,7,0,0,0
92,7,0,0,0
93,7,0,0,0
94,7,0,0,0
95,7,0,0,0
96,7,0,0,0
97,8,0,0,0
98,8,0,0,0
99,8,0,0,0
100,8,0,0,0
101,8,0,0,0
102,9,0,0,0
103,10,0,0,0
104,11,0,0,0
105,11,0,0,0
106,11,0,0,0
107,11,0,0,0
108,11,0,0,0
109,11,0,0,0
110,11,0,0,0
111,12,0,0,0
112,12,0,0,0
113,12,0,0,0
114,12,0,0,0
115,12,0,0,0
116,12,0,0,0
117,14,0,0,0
118,15,0,0,0
119,15,0,0,0
120,15,0,0,0
121,15,0,0,0
122,16,0,0,0
123,16,0,0,0
124,16,0,0,0
125,17,0,0,0
126,17,0,0,0
127,18,0,0,0
128,20,0,0,0
129,20,0,0,0
130,21,0,0,0
131,21,0,0,0
132,21,0,0,0
133,21,0,0,0
134,21,0,0,0
135,21,0,0,0
136,21,0,0,0
137,22,0,0,0
138,22,0,0,0
139,22,0,0,0
140,22,0,0,0
141,22,0,0,0
142,22,0,0,0
143,22,0,0,0
144,23,0,0,0
145,24,0,0,0
146,24,0,0,0
147,24,0,0,0
148,25,0,0,0
149,26,0,0,0
150,27,0,0,0
151,28,0,0,0
152,28,0,0,0
153,29,0,0,0
154,29,0,0,0
155,29,0,0,0
156,30,0,0,0
157,30,0,0,0
158,31,0,0,0
159,33,0,0,0
160,34,0,0,0
161,35,0,0,0
162,35,0,0,0
163,36,0,0,0
164,37,0,0,0
165,37,0,0,0
166,38,0,0,0
167,38,0,0,0
168,40,0,0,0
169,42,0,0,0
170,43,0,0,0
171,44,0,0,0
172,45,0,0,0
173,46,0,0,0
174,46,0,0,0
175,47,0,0,0
176,48,0,0,0
177,49,0,0,0
178,52,0,0,0
179,54,0,0,0
180,56,0,0,0
181,57,0,0,0
182,58,0,0,0
183,58,0,0,0
184,58,0,0,0
185,60,0,0,0
186,62,0,0,0
187,62,0,0,0
188,62,0,0,0
189,64,0,0,0
190,66,0,0,0
191,66,0,0,0
192,68,0,0,0
193,69,0,0,0
194,75,0,0,0
195,77,0,0,0
196,77,0,0,0
197,79,0,0,0
198,80,0,0,0
199,81,0,0,0
200,83,0,0,0
201,83,0,0,0
202,85,0,0,0
203,88,0,0,0
204,89,0,0,0
205,89,0,0,0
206,90,0,0,0
207,94,0,0,0
208,95,0,0,0
209,97,0,0,0
210,97,0,0,0
211,99,0,0,0
212,102,0,0,0
213,104,0,0,0
214,104,0,0,0
215,106,0,0,0
216,106,0,0,0
217,107,0,0,0
218,108,0,0,0
219,108,0,0,0
220,110,1,0,9
221,112,1,0,9
222,113,1,0,9
223,113,1,0,9
224,113,1,0,9
225,113,1,0,9
226,114,1,0,9
227,114,1,0,9
228,117,1,0,9
229,118,1,0,9
230,119,1,0,13
231,120,1,0,13
232,120,1,0,13
233,120,1,0,13
234,121,1,0,13
235,122,1,0,13
236,123,1,0,13
237,124,1,0,13
238,124,1,0,13
239,124,1,0,13
240,124,1,0,21
241,126,1,0,21
242,126,1,0,21
243,126,1,0,21
244,127,1,0,21
245,128,1,0,21
246,128,1,0,21
247,128,1,0,21
248,128,1,0,21
249,129,1,0,21
250,129,1,0,23
251,130,1,0,23
252,130,1,0,23
253,131,1,0,23
254,134,1,0,23
255,134,1,0,23
256,135,1,0,23
257,135,1,0,23
258,137,1,0,23
259,137,1,0,23
260,137,1,0,33
261,137,1,0,33
262,137,1,0,33
263,137,1,0,33
264,137,1,0,33
265,137,1,0,33
266,137,1,0,33
267,137,1,0,33
268,137,1,0,33
269,138,1,0,33
270,138,1,0,41
271,138,1,0,41
272,138,1,0,41
273,138,1,0,41
274,139,1,0,41
275,139,1,0,41
276,139,1,0,41
277,139,1,0,41
278,139,1,0,41
279,140,1,0,41
280,140,1,0,48
281,141,1,0,48
282,141,1,0,48
283,140,2,0,48
284,140,2,0,48
285,140,2,0,48
286,140,2,0,48
287,141,2,0,48
288,141,2,0,48
289,141,2,0,48
290,142,2,0,56
291,142,2,0,56
292,142,2,0,56
293,142,2,0,56
294,142,2,0,56
295,142,2,0,56
296,142,2,0,56
297,143,2,0,56
298,143,2,0,56
299,143,2,0,56
300,143,2,0,66
301,143,2,0,66
302,144,2,0,66
303,144,2,0,66
304,144,2,0,66
305,144,2,0,66
306,145,2,0,66
307,145,2,0,66
308,145,2,0,66
309,145,2,0,66
310,145,2,0,72
311,146,2,0,72
312,147,2,0,72
313,147,2,0,72
314,149,2,0,72
315,149,2,0,72
316,149,2,0,72
317,150,2,0,72
318,151,2,0,72
319,151,2,0,72
320,151,2,0,80
321,150,3,0,79
322,150,3,0,79
323,152,3,0,79
324,152,3,0,79
325,153,3,0,79
326,153,3,0,79
327,153,3,0,79
328,154,3,0,79
329,154,3,0,79
330,155,3,0,84
331,155,3,0,84
332,155,3,0,84
333,155,3,0,84
334,155,3,0,84
335,155,3,0,84
336,155,3,0,84
337,155,3,0,84
338,155,3,0,84
339,155,3,0,84
340,155,3,0,86
341,155,3,0,86
342,155,3,0,86
343,155,3,0,86
344,156,3,0,86
345,158,3,0,86
346,158,3,0,86
347,158,3,0,86
348,158,3,0,86
349,160,3,0,86
350,159,4,0,91
351,159,4,0,91
352,159,4,0,91
353,159,4,0,91
354,159,4,0,91
355,160,4,0,91
356,161,4,0,91
357,161,4,0,91
358,161,4,0,91
359,161,4,0,91
360,161,4,0,95
361,162,4,0,95
362,162,4,0,95
363,162,4,0,95
364,162,4,0,95
365,163,4,0,95
366,163,4,0,95
367,162,5,0,94
368,162,5,0,94
369,162,5,0,94
370,162,5,0,97
371,162,5,0,97
372,162,5,0,97
373,162,5,0,97
374,162,5,0,97
375,163,5,0,97
376,163,5,0,97
377,163,5,0,97
378,163,5,0,97
379,164,5,0,97
380,164,6,0,98
381,164,6,0,98
382,163,6,1,97
383,163,6,1,97
384,163,6,1,97
385,163,6,1,97
386,164,6,1,97
387,164,6,1,97
388,163,7,1,97
389,164,7,1,97
390,164,7,1,100
391,163,8,1,99
392,163,8,1,99
393,163,8,1,99
394,163,8,1,99
395,162,9,1,99
396,159,11,2,97
397,159,11,2,97
398,159,11,2,97
399,158,12,2,96
400,158,12,2,97
401,157,13,2,97
402,156,14,2,96
403,157,14,2,96
404,156,15,2,95
405,156,15,2,95
406,156,15,2,95
407,156,15,2,95
408,155,16,2,94
409,155,16,2,94
410,155,16,2,98
411,155,16,2,98
412,155,16,2,98
413,155,16,2,98
414,155,16,2,98
415,155,16,2,98
416,155,16,2,98
417,155,16,2,98
418,155,16,2,98
419,155,16,2,98
420,155,16,2,100
421,155,16,2,100
422,155,16,2,100
423,155,16,2,100
424,155,16,2,100
425,155,16,2,100
