,infected,recovered,fatalities,infected_known,susceptible,severity0,severity1,severity2,positive,number_of_tests
0,0,0,0,0,2000,0,0,0,,0.0
1,0,0,0,0,2000,0,0,0,,0.0
2,0,0,0,0,2000,0,0,0,,0.0
3,0,0,0,0,2000,0,0,0,,0.0
4,0,0,0,0,2000,0,0,0,,0.0
5,0,0,0,0,2000,0,0,0,,0.0
6,5,0,0,0,1995,0,0,0,,0.0
7,5,0,0,0,1995,0,0,0,,0.0
8,5,0,0,0,1995,0,0,0,,0.0
9,5,0,0,0,1995,0,0,0,,0.0
10,5,0,0,0,1995,0,0,0,,0.0
11,5,0,0,0,1995,0,0,0,,0.0
12,5,0,0,0,1995,0,0,0,,0.0
13,5,0,0,0,1995,0,0,0,,0.0
14,5,0,0,0,1995,0,0,0,,0.0
15,5,0,0,0,1995,0,0,0,,0.0
16,5,0,0,0,1995,0,0,0,,0.0
17,5,0,0,0,1995,0,0,0,,0.0
18,5,0,0,0,1995,0,0,0,,0.0
19,5,0,0,0,1995,0,0,0,,0.0
20,5,0,0,0,1995,0,0,0,,0.0
21,5,0,0,0,1995,0,0,0,,0.0
22,5,0,0,0,1995,0,0,0,,0.0
23,5,0,0,0,1995,0,0,0,,0.0
24,5,0,0,0,1995,0,0,0,,0.0
25,5,0,0,0,1995,5,0,0,,0.0
26,8,0,0,0,1992,5,0,0,,0.0
27,10,0,0,0,1990,5,0,0,,0.0
28,14,0,0,0,1986,5,0,0,,0.0
29,17,0,0,0,1983,5,0,0,,0.0
30,20,0,0,0,1980,5,0,0,,0.0
31,20,0,0,0,1980,5,0,0,,0.0
32,22,0,0,0,1978,5,0,0,,0.0
33,23,0,0,0,1977,5,0,0,,0.0
34,25,0,0,0,1975,5,0,0,,0.0
35,25,0,0,0,1975,5,0,0,,0.0
36,25,0,0,0,1975,5,0,0,,0.0
37,27,0,0,0,1973,5,0,0,,0.0
38,27,0,0,0,1973,5,0,0,,0.0
39,31,0,0,0,1969,5,0,0,,0.0
40,31,0,0,0,1969,5,0,0,,0.0
41,34,0,0,0,1966,5,0,0,,0.0
42,35,0,0,0,1965,5,0,0,,0.0
43,35,0,0,0,1965,5,0,0,,0.0
44,36,0,0,0,1964,5,0,0,,0.0
45,37,0,0,0,1963,5,0,0,,0.0
46,38,0,0,0,1962,8,0,0,,0.0
47,41,0,0,0,1959,10,0,0,,0.0
48,43,0,0,0,1957,14,0,0,,0.0
49,46,0,0,0,1954,17,0,0,,0.0
50,52,0,0,0,1948,20,0,0,,0.0
51,61,0,0,0,1939,20,0,0,,0.0
52,66,0,0,0,1934,22,0,0,,0.0
53,73,0,0,0,1927,23,0,0,,0.0
54,75,1,0,0,1924,25,0,0,,0.0
55,77,1,0,0,1922,25,0,0,,0.0
56,79,1,0,0,1920,25,0,0,,0.0
57,80,1,0,0,1919,27,0,0,,0.0
58,91,1,0,0,1908,27,0,0,,0.0
59,95,1,0,0,1904,31,0,0,,0.0
60,102,1,0,2,1897,31,0,0,2.0,10.0
61,102,1,0,2,1897,34,0,0,,
62,102,1,0,2,1897,35,0,0,,
63,102,1,0,2,1897,35,0,0,,
64,105,1,0,2,1894,36,0,0,,
65,106,1,0,2,1893,37,0,0,,
66,109,1,0,2,1890,38,0,0,,
67,110,1,0,2,1889,41,0,0,,
68,110,1,0,2,1889,43,0,0,,
69,113,1,0,2,1886,46,0,0,,
70,115,1,0,2,1884,52,0,0,0.0,10.0
71,117,1,0,2,1882,61,0,0,,
72,119,1,0,2,1880,66,0,0,,
73,121,1,0,2,1878,73,0,0,,
74,125,1,0,2,1874,75,0,0,,
75,129,1,0,2,1870,72,5,0,,
76,131,1,0,2,1868,74,5,0,,
77,138,1,0,2,1861,75,5,0,,
78,141,1,0,2,1858,86,5,0,,
79,145,1,0,2,1854,90,5,0,,
80,149,1,0,7,1850,97,5,0,5.0,10.0
81,152,1,0,7,1847,97,5,0,,
82,155,1,0,7,1844,97,5,0,,
83,158,1,0,7,1841,97,5,0,,
84,161,1,0,7,1838,100,5,0,,
85,163,1,0,7,1836,101,5,0,,
86,163,1,0,7,1836,104,5,0,,
87,170,1,0,7,1829,105,5,0,,
88,176,1,0,7,1823,105,5,0,,
89,178,1,0,7,1821,108,5,0,,
90,181,1,0,9,1818,110,5,0,2.0,11.0
91,183,1,0,9,1816,112,5,0,,
92,187,1,0,9,1812,114,5,0,,
93,188,1,0,9,1811,116,5,0,,
94,189,1,0,9,1810,120,5,0,,
95,191,1,0,9,1808,124,5,0,,
96,194,1,0,9,1805,124,7,0,,
97,194,1,0,9,1805,129,9,0,,
98,197,1,0,9,1802,130,11,0,,
99,201,1,0,9,1798,132,13,0,,
100,206,1,0,17,1793,133,16,0,8.0,11.0
101,207,1,0,17,1792,136,16,0,,
102,208,1,0,17,1791,137,18,0,,
103,208,1,0,17,1791,140,18,0,,
104,212,1,0,17,1787,142,19,0,,
105,212,1,0,17,1787,144,19,0,,
106,215,1,0,17,1784,144,19,0,,
107,218,1,0,17,1781,149,21,0,,
108,222,1,0,17,1777,155,21,0,,
109,224,1,0,17,1775,155,23,0,,
110,229,1,0,27,1770,158,23,0,10.0,25.0
111,229,1,0,27,1770,158,25,0,,
112,231,1,0,27,1768,162,25,0,,
113,234,1,0,27,1765,163,25,0,,
114,236,1,0,27,1763,163,26,0,,
