,infected,recovered,fatalities,infected_known,susceptible,severity0,severity1,severity2,positive,number_of_tests
0,0,0,0,0,2000,0,0,0,,0.0
1,0,0,0,0,2000,0,0,0,,0.0
2,0,0,0,0,2000,0,0,0,,0.0
3,0,0,0,0,2000,0,0,0,,0.0
4,0,0,0,0,2000,0,0,0,,0.0
5,0,0,0,0,2000,0,0,0,,0.0
6,5,0,0,0,1995,0,0,0,,0.0
7,5,0,0,0,1995,0,0,0,,0.0
8,5,0,0,0,1995,0,0,0,,0.0
9,5,0,0,0,1995,0,0,0,,0.0
10,5,0,0,0,1995,0,0,0,,0.0
11,5,0,0,0,1995,0,0,0,,0.0
12,5,0,0,0,1995,0,0,0,,0.0
13,5,0,0,0,1995,0,0,0,,0.0
14,5,0,0,0,1995,0,0,0,,0.0
15,5,0,0,0,1995,0,0,0,,0.0
16,5,0,0,0,1995,0,0,0,,0.0
17,5,0,0,0,1995,0,0,0,,0.0
18,5,0,0,0,1995,0,0,0,,0.0
19,5,0,0,0,1995,0,0,0,,0.0
20,5,0,0,0,1995,0,0,0,,0.0
21,5,0,0,0,1995,0,0,0,,0.0
22,5,0,0,0,1995,0,0,0,,0.0
23,5,0,0,0,1995,0,0,0,,0.0
24,5,0,0,0,1995,0,0,0,,0.0
25,5,0,0,0,1995,5,0,0,,0.0
26,6,0,0,0,1994,5,0,0,,0.0
27,10,0,0,0,1990,5,0,0,,0.0
28,11,0,0,0,1989,5,0,0,,0.0
29,12,0,0,0,1988,5,0,0,,0.0
30,14,0,0,0,1986,5,0,0,,0.0
31,15,0,0,0,1985,5,0,0,,0.0
32,16,0,0,0,1984,5,0,0,,0.0
33,16,0,0,0,1984,5,0,0,,0.0
34,17,0,0,0,1983,5,0,0,,0.0
35,18,0,0,0,1982,5,0,0,,0.0
36,20,0,0,0,1980,5,0,0,,0.0
37,20,0,0,0,1980,5,0,0,,0.0
38,20,0,0,0,1980,5,0,0,,0.0
39,21,0,0,0,1979,5,0,0,,0.0
40,22,0,0,0,1978,5,0,0,,0.0
41,22,0,0,0,1978,5,0,0,,0.0
42,22,0,0,0,1978,5,0,0,,0.0
43,22,0,0,0,1978,5,0,0,,0.0
44,23,0,0,0,1977,5,0,0,,0.0
45,24,0,0,0,1976,5,0,0,,0.0
46,24,0,0,0,1976,6,0,0,,0.0
47,26,0,0,0,1974,10,0,0,,0.0
48,28,0,0,0,1972,11,0,0,,0.0
49,31,0,0,0,1969,12,0,0,,0.0
50,35,0,0,0,1965,14,0,0,,0.0
51,42,0,0,0,1958,15,0,0,,0.0
52,42,0,0,0,1958,16,0,0,,0.0
53,45,0,0,0,1955,16,0,0,,0.0
54,47,0,0,0,1953,17,0,0,,0.0
55,50,0,0,0,1950,18,0,0,,0.0
56,55,0,0,0,1945,20,0,0,,0.0
57,59,0,0,0,1941,20,0,0,,0.0
58,63,0,0,0,1937,20,0,0,,0.0
59,63,0,0,0,1937,21,0,0,,0.0
60,67,0,0,0,1933,22,0,0,,0.0
61,72,0,0,0,1928,22,0,0,,0.0
62,78,0,0,0,1922,22,0,0,,0.0
63,81,0,0,0,1919,22,0,0,,0.0
64,87,0,0,0,1913,23,0,0,,0.0
65,89,0,0,0,1911,24,0,0,,0.0
66,93,0,0,0,1907,24,0,0,,0.0
67,95,0,0,0,1905,26,0,0,,0.0
68,100,0,0,0,1900,28,0,0,,
69,103,0,0,0,1897,31,0,0,,
70,106,0,0,0,1894,35,0,0,0.0,10.0
71,106,0,0,0,1894,42,0,0,,
72,112,0,0,0,1888,42,0,0,,
73,112,0,0,0,1888,45,0,0,,
74,113,0,0,0,1887,47,0,0,,
75,114,0,0,0,1886,45,5,0,,
76,117,0,0,0,1883,50,5,0,,
77,119,0,0,0,1881,54,5,0,,
78,121,0,0,0,1879,58,5,0,,
79,122,0,0,0,1878,58,5,0,,
80,124,0,0,5,1876,62,5,0,5.0,10.0
81,124,0,0,5,1876,67,5,0,,
82,126,0,0,5,1874,73,5,0,,
83,129,0,0,5,1871,76,5,0,,
84,130,0,0,5,1870,82,5,0,,
85,137,0,0,5,1863,84,5,0,,
86,142,0,0,5,1858,88,5,0,,
87,146,0,0,5,1854,90,5,0,,
88,151,0,0,5,1849,95,5,0,,
89,153,0,0,5,1847,98,5,0,,
90,161,0,0,7,1839,101,5,0,2.0,25.0
91,163,0,0,7,1837,101,5,0,,
92,166,0,0,7,1834,107,5,0,,
93,168,0,0,7,1832,107,5,0,,
94,169,0,0,7,1831,108,5,0,,
95,172,0,0,7,1828,109,5,0,,
96,173,0,0,7,1827,111,6,0,,
97,176,0,0,7,1824,112,7,0,,
98,176,0,0,7,1824,114,7,0,,
99,178,0,0,7,1822,114,8,0,,
100,180,0,0,10,1820,115,9,0,3.0,23.0
101,180,0,0,10,1820,114,10,0,,
102,181,0,0,10,1819,115,11,0,,
103,185,0,0,10,1815,118,11,0,,
104,185,0,0,10,1815,118,12,0,,
105,185,0,0,10,1815,125,12,0,,
106,187,0,0,10,1813,129,13,0,,
107,191,0,0,10,1809,133,13,0,,
108,195,0,0,10,1805,138,13,0,,
109,200,0,0,10,1800,139,14,0,,
110,204,0,0,19,1796,146,15,0,9.0,33.0
111,206,0,0,19,1794,148,15,0,,
112,208,0,0,19,1792,151,15,0,,
113,208,0,0,19,1792,153,15,0,,
