,infected,recovered,fatalities,infected_known,susceptible,severity0,severity1,severity2,positive,number_of_tests
0,0,0,0,0,2000,0,0,0,0.0,0.0
1,0,0,0,0,2000,0,0,0,0.0,0.0
2,0,0,0,0,2000,0,0,0,0.0,0.0
3,0,0,0,0,2000,0,0,0,0.0,0.0
4,0,0,0,0,2000,0,0,0,0.0,0.0
5,0,0,0,0,2000,0,0,0,0.0,0.0
6,5,0,0,0,1995,0,0,0,0.0,0.0
7,5,0,0,0,1995,0,0,0,0.0,0.0
8,5,0,0,0,1995,0,0,0,0.0,0.0
9,5,0,0,0,1995,0,0,0,0.0,0.0
10,5,0,0,0,1995,0,0,0,0.0,0.0
11,5,0,0,0,1995,0,0,0,0.0,0.0
12,5,0,0,0,1995,0,0,0,0.0,0.0
13,5,0,0,0,1995,0,0,0,0.0,0.0
14,5,0,0,0,1995,0,0,0,0.0,0.0
15,5,0,0,0,1995,0,0,0,0.0,0.0
16,5,0,0,0,1995,0,0,0,0.0,0.0
17,5,0,0,0,1995,0,0,0,0.0,0.0
18,5,0,0,0,1995,0,0,0,0.0,0.0
19,5,0,0,0,1995,0,0,0,0.0,0.0
20,5,0,0,0,1995,0,0,0,0.0,0.0
21,5,0,0,0,1995,0,0,0,0.0,0.0
22,5,0,0,0,1995,0,0,0,0.0,0.0
23,5,0,0,0,1995,0,0,0,0.0,0.0
24,5,0,0,0,1995,0,0,0,0.0,0.0
25,5,0,0,0,1995,5,0,0,0.0,0.0
26,7,0,0,0,1993,5,0,0,0.0,0.0
27,10,0,0,0,1990,5,0,0,0.0,0.0
28,13,0,0,0,1987,5,0,0,0.0,0.0
29,16,0,0,0,1984,5,0,0,0.0,0.0
30,16,0,0,0,1984,5,0,0,0.0,0.0
31,17,0,0,0,1983,5,0,0,0.0,0.0
32,19,0,0,0,1981,5,0,0,0.0,0.0
33,19,0,0,0,1981,5,0,0,0.0,0.0
34,19,0,0,0,1981,5,0,0,0.0,0.0
35,24,0,0,0,1976,5,0,0,0.0,0.0
36,26,0,0,0,1974,5,0,0,0.0,0.0
37,26,0,0,0,1974,5,0,0,0.0,0.0
38,26,0,0,0,1974,5,0,0,0.0,0.0
39,28,0,0,0,1972,5,0,0,0.0,0.0
40,30,0,0,0,1970,5,0,0,0.0,0.0
41,32,0,0,0,1968,5,0,0,0.0,0.0
42,33,0,0,0,1967,5,0,0,0.0,0.0
