,infected,recovered,fatalities,infected_known,susceptible
0,0,0,0,0,2000
1,0,0,0,0,2000
2,0,0,0,0,2000
3,0,0,0,0,2000
4,0,0,0,0,2000
5,0,0,0,0,2000
6,5,0,0,0,1995
7,5,0,0,0,1995
8,5,0,0,0,1995
9,5,0,0,0,1995
10,5,0,0,0,1995
11,5,0,0,0,1995
12,5,0,0,0,1995
13,5,0,0,0,1995
14,5,0,0,0,1995
15,5,0,0,0,1995
16,5,0,0,0,1995
17,5,0,0,0,1995
18,5,0,0,0,1995
19,5,0,0,0,1995
20,5,0,0,0,1995
21,5,0,0,0,1995
22,5,0,0,0,1995
23,5,0,0,0,1995
24,5,0,0,0,1995
25,5,0,0,0,1995
26,6,0,0,0,1994
27,8,0,0,0,1992
28,12,0,0,0,1988
29,14,0,0,0,1986
30,15,0,0,0,1985
31,15,0,0,0,1985
32,18,0,0,0,1982
33,19,0,0,0,1981
34,20,0,0,0,1980
35,22,0,0,0,1978
36,22,0,0,0,1978
37,24,0,0,0,1976
38,25,0,0,0,1975
39,25,0,0,0,1975
40,25,0,0,0,1975
41,25,0,0,0,1975
42,27,0,0,0,1973
43,28,0,0,0,1972
44,29,0,0,0,1971
45,30,0,0,0,1970
46,32,0,0,0,1968
47,36,0,0,0,1964
48,36,0,0,0,1964
49,41,0,0,0,1959
50,50,0,0,0,1950
51,52,0,0,0,1948
52,54,0,0,0,1946
53,56,0,0,0,1944
54,63,0,0,0,1937
55,65,0,0,0,1935
56,69,0,0,0,1931
57,76,0,0,0,1924
58,81,0,0,0,1919
59,84,0,0,0,1916
60,90,0,0,0,1910
61,91,0,0,0,1909
62,98,0,0,0,1902
63,106,0,0,0,1894
64,108,0,0,0,1892
65,113,0,0,0,1887
66,114,0,0,0,1886
67,117,0,0,0,1883
68,120,0,0,0,1880
69,126,0,0,0,1874
70,132,0,0,1,1868
71,135,0,0,1,1865
72,136,0,0,1,1864
73,139,0,0,1,1861
74,141,0,0,1,1859
75,148,0,0,1,1852
76,153,0,0,1,1847
77,153,0,0,1,1847
78,155,0,0,1,1845
79,161,0,0,1,1839
80,167,0,0,2,1833
81,168,0,0,2,1832
82,169,0,0,2,1831
83,171,0,0,2,1829
84,174,0,0,2,1826
85,178,0,0,2,1822
86,182,0,0,2,1818
87,186,0,0,2,1814
88,190,0,0,2,1810
89,192,0,0,2,1808
90,198,0,0,6,1802
91,199,0,0,6,1801
92,200,0,0,6,1800
93,202,0,0,6,1798
94,204,0,0,6,1796
95,207,0,0,6,1793
96,210,0,0,6,1790
97,214,0,0,6,1786
98,216,0,0,6,1784
99,222,0,0,6,1778
100,224,0,0,8,1776
101,224,0,0,8,1776
102,227,0,0,8,1773
103,230,0,0,8,1770
104,233,0,0,8,1767
105,235,0,0,8,1765
106,236,0,0,8,1764
107,240,0,0,8,1760
108,245,0,0,8,1755
109,247,0,0,8,1753
110,251,0,0,14,1749
111,253,0,0,14,1747
112,255,0,0,14,1745
113,255,0,0,14,1745
114,257,0,0,14,1743
115,257,0,0,14,1743
116,258,0,0,14,1742
117,263,0,0,14,1737
118,267,0,0,14,1733
119,269,0,0,14,1731
120,271,0,0,22,1729
121,274,0,0,22,1726
122,274,0,0,22,1726
123,274,0,0,22,1726
124,274,0,0,22,1726
125,275,0,0,22,1725
126,279,0,0,22,1721
127,281,0,0,22,1719
128,282,0,0,22,1718
129,287,0,0,22,1713
130,291,0,0,40,1709
131,293,0,0,40,1707
132,293,0,0,40,1707
133,295,0,0,40,1705
134,299,0,0,40,1701
135,304,0,0,40,1696
136,304,0,0,40,1696
137,307,0,0,40,1693
138,308,0,0,40,1692
139,311,0,0,40,1689
140,312,0,0,53,1688
141,312,0,0,53,1688
142,312,0,0,53,1688
143,313,0,0,53,1687
144,315,0,0,53,1685
145,316,0,0,53,1684
146,317,0,0,53,1683
147,319,0,0,53,1681
148,319,0,0,53,1681
149,320,0,0,53,1680
150,321,0,0,73,1679
151,321,0,0,73,1679
152,322,0,0,73,1678
153,322,0,0,73,1678
154,324,0,0,73,1676
155,324,0,0,73,1676
156,325,0,0,73,1675
157,328,0,0,73,1672
158,332,0,0,73,1668
159,338,0,0,73,1662
160,341,0,0,89,1659
161,341,0,0,89,1659
162,343,0,0,89,1657
163,343,0,0,89,1657
164,343,0,0,89,1657
165,346,0,0,89,1654
166,348,0,0,89,1652
167,349,0,0,89,1651
168,349,0,0,89,1651
169,349,0,0,89,1651
170,351,0,0,108,1649
171,351,0,0,108,1649
172,351,0,0,108,1649
173,355,0,0,108,1645
174,355,0,0,108,1645
175,358,0,0,108,1642
176,358,0,0,108,1642
177,359,0,0,108,1641
178,364,0,0,108,1636
179,367,0,0,108,1633
180,367,0,0,132,1633
181,369,0,0,132,1631
182,369,0,0,132,1631
183,369,0,0,132,1631
184,369,0,0,132,1631
185,372,0,0,132,1628
186,373,0,0,132,1627
187,375,0,0,132,1625
188,376,0,0,132,1624
189,376,0,0,132,1624
190,376,0,0,149,1624
191,376,0,0,149,1624
192,377,0,0,149,1623
193,378,0,0,149,1622
194,379,0,0,149,1621
195,381,0,0,149,1619
196,384,0,0,149,1616
197,385,0,0,149,1615
198,386,0,0,149,1614
199,391,0,0,149,1609
200,393,0,0,166,1607
201,393,0,0,166,1607
202,393,0,0,166,1607
203,394,0,0,166,1606
204,396,0,0,166,1604
205,397,0,0,166,1603
206,397,0,0,166,1603
207,399,0,0,166,1601
208,399,0,0,166,1601
209,400,0,0,166,1600
210,400,0,0,185,1600
211,400,0,0,185,1600
212,402,0,0,185,1598
213,403,0,0,185,1597
214,406,0,0,185,1594
215,406,0,0,185,1594
216,408,0,0,185,1592
217,409,0,0,185,1591
218,411,0,0,185,1589
219,413,0,0,185,1587
220,414,0,0,205,1586
221,416,0,0,205,1584
222,417,0,0,205,1583
223,417,0,0,205,1583
224,417,0,0,205,1583
225,419,0,0,205,1581
226,422,0,0,205,1578
227,422,0,0,205,1578
228,426,0,0,205,1574
229,427,0,0,205,1573
230,428,0,0,216,1572
231,428,0,0,216,1572
232,428,0,0,216,1572
233,428,0,0,216,1572
234,430,0,0,216,1570
235,432,0,0,216,1568
236,433,0,0,216,1567
237,435,0,0,216,1565
238,436,0,0,216,1564
239,438,0,0,216,1562
240,438,0,0,227,1562
241,438,0,0,227,1562
242,439,0,0,227,1561
243,440,0,0,227,1560
244,444,0,0,227,1556
245,447,0,0,227,1553
246,447,0,0,227,1553
247,449,0,0,227,1551
248,453,0,0,227,1547
249,454,0,0,227,1546
250,457,0,0,240,1543
251,459,0,0,240,1541
252,459,0,0,240,1541
253,459,0,0,240,1541
254,460,0,0,240,1540
255,461,0,0,240,1539
256,463,0,0,240,1537
257,464,0,0,240,1536
258,465,0,0,240,1535
259,469,0,0,240,1531
260,471,0,0,254,1529
261,471,0,0,254,1529
262,472,0,0,254,1528
263,472,0,0,254,1528
264,473,0,0,254,1527
265,475,0,0,254,1525
266,475,0,0,254,1525
267,478,0,0,254,1522
268,482,0,0,254,1518
269,486,0,0,254,1514
270,489,0,0,263,1511
271,490,0,0,263,1510
272,492,0,0,263,1508
273,498,0,0,263,1502
274,499,0,0,263,1501
275,500,0,0,263,1500
276,501,0,0,263,1499
277,502,0,0,263,1498
278,503,0,0,263,1497
279,505,0,0,263,1495
280,506,0,0,269,1494
281,506,0,0,269,1494
282,506,0,0,269,1494
283,507,0,0,269,1493
284,506,1,0,268,1493
285,507,1,0,268,1492
286,507,2,0,267,1491
287,508,2,0,267,1490
288,509,2,0,267,1489
289,513,2,0,267,1485
290,514,2,0,276,1484
291,516,2,0,276,1482
292,517,2,0,276,1481
293,519,2,0,276,1479
294,522,2,0,276,1476
295,524,2,0,276,1474
296,527,2,0,276,1471
297,529,2,0,276,1469
298,531,2,0,276,1467
299,533,3,0,275,1464
300,532,4,0,290,1464
301,533,4,0,290,1463
302,535,4,0,290,1461
303,536,4,0,290,1460
304,537,6,0,288,1457
305,538,6,0,288,1456
306,540,6,0,288,1454
307,544,6,0,288,1450
308,545,6,0,288,1449
309,547,6,0,288,1447
310,549,8,0,295,1443
311,549,8,0,295,1443
312,553,8,0,295,1439
313,555,8,0,295,1437
314,555,8,0,295,1437
315,555,8,0,295,1437
316,555,8,0,295,1437
317,558,8,0,295,1434
318,559,8,0,295,1433
319,560,8,0,295,1432
320,563,9,0,307,1428
321,564,9,0,307,1427
322,566,9,0,307,1425
323,566,9,0,307,1425
324,569,10,0,306,1421
325,574,10,0,306,1416
326,576,10,0,306,1414
327,575,11,0,306,1414
328,579,11,0,306,1410
329,583,11,0,306,1406
330,585,11,0,318,1404
331,586,11,0,318,1403
332,589,11,0,318,1400
333,591,11,0,318,1398
334,591,12,0,317,1397
335,591,14,0,316,1395
336,592,15,0,315,1393
337,592,17,0,313,1391
338,594,17,0,313,1389
339,593,18,0,312,1389
340,593,19,0,325,1388
341,594,19,0,325,1387
342,596,20,0,325,1384
343,595,21,0,325,1384
344,594,23,0,324,1383
345,592,25,0,323,1383
346,593,26,0,322,1381
347,592,27,0,321,1381
348,591,28,0,320,1381
349,597,28,0,320,1375
350,598,29,0,326,1373
351,600,29,0,326,1371
352,599,31,0,325,1370
353,600,31,0,325,1369
354,599,32,0,325,1369
355,601,33,0,325,1366
356,598,39,0,320,1363
357,598,40,0,320,1362
358,602,40,0,320,1358
359,607,40,0,320,1353
360,611,40,0,330,1349
361,611,41,0,330,1348
362,608,44,0,328,1348
363,609,47,0,325,1344
364,609,47,0,325,1344
365,610,48,0,324,1342
366,607,51,1,321,1341
367,605,52,2,319,1341
368,607,52,2,319,1339
369,607,53,2,318,1338
370,608,54,2,328,1336
371,607,56,2,327,1335
372,610,57,2,326,1331
373,611,57,2,326,1330
374,610,59,3,324,1328
375,609,61,3,322,1327
376,610,62,3,321,1325
377,609,63,4,319,1324
378,610,64,4,319,1322
379,614,65,4,318,1317
380,616,65,4,333,1315
381,616,67,4,332,1313
382,618,67,4,332,1311
383,618,67,4,332,1311
384,618,67,4,332,1311
385,616,69,4,330,1311
386,616,69,4,330,1311
387,618,72,5,326,1305
388,615,77,5,322,1303
389,614,79,5,321,1302
390,615,82,5,329,1298
391,613,83,6,327,1298
392,614,86,6,325,1294
393,620,87,6,324,1287
394,618,90,6,323,1286
395,615,93,6,321,1286
396,616,95,6,319,1283
397,617,95,6,319,1282
398,618,98,6,318,1278
399,620,99,6,318,1275
400,621,100,6,335,1273
401,619,102,6,334,1273
402,617,104,6,334,1273
403,616,105,6,334,1273
404,617,105,6,334,1272
405,618,107,6,332,1269
406,616,110,6,331,1268
407,613,113,6,328,1268
408,608,119,6,326,1267
409,607,122,7,323,1264
410,608,125,7,332,1260
411,605,129,7,329,1259
412,604,129,8,328,1259
413,602,131,9,325,1258
414,604,131,9,325,1256
415,603,134,10,322,1253
416,601,137,10,320,1252
417,604,137,10,320,1249
418,600,142,10,316,1248
419,601,143,10,315,1246
420,601,145,10,325,1244
421,598,148,10,322,1244
422,597,149,10,321,1244
423,597,150,10,320,1243
424,595,152,10,319,1243
425,596,154,10,319,1240
426,592,160,10,315,1238
427,591,161,11,313,1237
428,591,162,11,312,1236
429,589,165,12,309,1234
430,590,166,12,318,1232
431,591,166,12,318,1231
432,590,167,12,317,1231
433,586,172,12,313,1230
434,585,174,12,311,1229
435,583,176,13,309,1228
436,581,178,13,308,1228
437,580,180,13,306,1227
438,582,182,13,304,1223
439,582,186,13,300,1219
440,586,187,13,316,1214
441,585,188,13,315,1214
442,587,188,13,315,1212
443,587,190,13,313,1210
444,586,194,13,310,1207
445,584,196,13,308,1207
446,585,197,14,306,1204
447,586,198,14,305,1202
448,583,201,14,304,1202
449,581,203,14,302,1202
450,581,206,14,315,1199
451,580,208,14,313,1198
452,579,211,14,311,1196
453,575,215,14,308,1196
454,573,217,15,305,1195
455,574,218,15,304,1193
456,571,221,15,303,1193
457,568,224,15,301,1193
458,567,226,15,301,1192
459,568,227,15,300,1190
460,565,231,15,310,1189
461,563,233,15,308,1189
462,559,237,15,304,1189
463,558,239,15,302,1188
464,556,241,15,300,1188
