,infected,recovered,fatalities,infected_known
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,1,0,0,0
52,1,0,0,0
53,1,0,0,0
54,1,0,0,0
55,1,0,0,0
56,1,0,0,0
57,1,0,0,0
58,1,0,0,0
59,1,0,0,0
60,1,0,0,0
61,1,0,0,0
62,1,0,0,0
63,1,0,0,0
64,1,0,0,0
65,1,0,0,0
66,1,0,0,0
67,1,0,0,0
68,1,0,0,0
69,1,0,0,0
70,1,0,0,0
71,1,0,0,0
72,1,0,0,0
73,1,0,0,0
74,1,0,0,0
75,2,0,0,0
76,2,0,0,0
77,3,0,0,0
78,3,0,0,0
79,3,0,0,0
80,3,0,0,0
81,3,0,0,0
82,3,0,0,0
83,3,0,0,0
84,4,0,0,0
85,4,0,0,0
86,4,0,0,0
87,4,0,0,0
88,5,0,0,0
89,5,0,0,0
90,5,0,0,0
91,5,0,0,0
92,5,0,0,0
93,6,0,0,0
94,6,0,0,0
95,6,0,0,0
96,6,0,0,0
97,7,0,0,0
98,7,0,0,0
99,8,0,0,0
100,8,0,0,0
101,9,0,0,0
102,9,0,0,0
103,9,0,0,0
104,10,0,0,0
105,10,0,0,0
106,11,0,0,0
107,11,0,0,0
108,11,0,0,0
109,11,0,0,0
110,11,0,0,0
111,11,0,0,0
112,11,0,0,0
113,12,0,0,0
114,12,0,0,0
115,12,0,0,0
116,12,0,0,0
117,12,0,0,0
118,12,0,0,0
119,13,0,0,0
120,15,0,0,0
121,16,0,0,0
122,17,0,0,0
123,17,0,0,0
124,17,0,0,0
125,17,0,0,0
126,18,0,0,0
127,18,0,0,0
128,19,0,0,0
129,19,0,0,0
130,20,0,0,0
131,21,0,0,0
132,21,0,0,0
133,21,0,0,0
134,21,0,0,0
135,21,0,0,0
136,22,0,0,0
137,23,0,0,0
138,24,0,0,0
139,25,0,0,0
140,27,0,0,2
141,27,0,0,2
142,27,0,0,2
143,29,0,0,2
144,30,0,0,2
145,31,0,0,2
146,32,0,0,2
147,32,0,0,2
148,33,0,0,2
149,34,0,0,2
150,37,0,0,3
151,37,0,0,3
152,37,0,0,3
153,37,0,0,3
154,37,0,0,3
155,39,0,0,3
156,39,0,0,3
157,40,0,0,3
158,41,0,0,3
159,43,0,0,3
160,43,0,0,7
161,43,0,0,7
162,43,0,0,7
163,44,0,0,7
164,45,0,0,7
165,49,0,0,7
166,50,0,0,7
167,53,0,0,7
168,55,0,0,7
169,56,0,0,7
170,56,0,0,10
171,56,0,0,10
172,56,0,0,10
173,58,0,0,10
174,59,0,0,10
175,59,0,0,10
176,59,0,0,10
177,61,0,0,10
178,64,0,0,10
179,67,0,0,10
180,69,0,0,19
181,69,0,0,19
182,70,0,0,19
183,71,0,0,19
184,72,0,0,19
185,72,0,0,19
186,73,0,0,19
187,74,0,0,19
188,75,0,0,19
189,75,0,0,19
190,76,0,0,23
191,77,0,0,23
192,78,0,0,23
193,78,0,0,23
194,80,0,0,23
195,80,0,0,23
196,82,0,0,23
197,84,0,0,23
198,85,0,0,23
199,87,0,0,23
200,88,0,0,31
201,88,0,0,31
202,89,0,0,31
203,92,0,0,31
204,92,0,0,31
205,92,0,0,31
206,92,0,0,31
207,93,0,0,31
208,93,0,0,31
209,93,0,0,31
210,93,0,0,38
211,94,0,0,38
212,95,0,0,38
213,96,0,0,38
214,96,0,0,38
215,97,0,0,38
216,97,0,0,38
217,97,0,0,38
218,98,0,0,38
219,99,0,0,38
220,99,0,0,46
221,100,0,0,46
222,102,0,0,46
223,103,0,0,46
224,104,0,0,46
225,104,0,0,46
226,105,0,0,46
227,106,0,0,46
228,107,0,0,46
229,107,0,0,46
230,108,0,0,49
231,112,0,0,49
232,113,0,0,49
233,113,0,0,49
234,113,0,0,49
235,113,0,0,49
236,114,0,0,49
237,114,0,0,49
238,115,0,0,49
239,119,0,0,49
240,120,0,0,58
241,120,0,0,58
242,120,0,0,58
243,120,0,0,58
244,120,0,0,58
245,122,0,0,58
246,122,0,0,58
247,123,0,0,58
248,124,0,0,58
249,125,0,0,58
250,127,0,0,61
251,128,0,0,61
252,129,0,0,61
253,129,0,0,61
254,131,0,0,61
255,137,0,0,61
256,138,0,0,61
257,141,0,0,61
258,142,0,0,61
259,142,0,0,61
260,143,0,0,65
261,143,0,0,65
262,143,0,0,65
263,144,0,0,65
264,145,0,0,65
265,146,0,0,65
266,149,0,0,65
267,149,0,0,65
268,152,0,0,65
269,155,0,0,65
270,158,0,0,70
271,159,0,0,70
272,163,0,0,70
273,163,0,0,70
274,165,0,0,70
275,167,0,0,70
276,170,0,0,70
277,172,0,0,70
278,173,0,0,70
279,174,0,0,70
280,174,0,0,78
281,175,0,0,78
282,177,0,0,78
283,180,0,0,78
284,181,0,0,78
285,182,0,0,78
286,186,0,0,78
287,188,0,0,78
288,189,0,0,78
289,189,0,0,78
290,190,0,0,89
291,191,0,0,89
292,194,0,0,89
293,195,0,0,89
294,196,0,0,89
295,198,0,0,89
296,199,0,0,89
297,199,0,0,89
298,200,0,0,89
299,201,0,0,89
300,203,0,0,100
301,207,0,0,100
302,209,0,0,100
303,211,0,0,100
304,214,0,0,100
305,215,0,0,100
306,218,0,0,100
307,221,0,0,100
308,221,0,0,100
309,223,0,0,100
310,225,0,0,108
311,226,0,0,108
312,226,0,0,108
313,226,0,0,108
314,226,0,0,108
315,226,0,0,108
316,228,0,0,108
317,229,0,0,108
318,230,0,0,108
319,232,0,0,108
320,234,0,0,118
321,235,0,0,118
322,236,0,0,118
323,237,0,0,118
324,237,0,0,118
325,240,0,0,118
326,241,0,0,118
327,242,0,0,118
328,244,0,0,118
329,247,0,0,118
330,248,0,0,129
331,251,0,0,129
332,256,0,0,129
333,261,0,0,129
334,264,0,0,129
335,270,0,0,129
336,272,0,0,129
337,274,0,0,129
338,275,0,0,129
339,279,0,0,129
340,286,0,0,137
341,289,0,0,137
342,291,0,0,137
343,296,1,0,136
344,298,1,0,136
345,302,1,0,136
346,305,1,0,136
347,305,1,0,136
348,306,1,0,136
349,306,1,0,136
350,308,1,0,149
351,309,1,0,149
352,312,1,0,149
353,313,1,0,149
354,314,1,0,149
355,315,1,0,149
356,316,1,0,149
357,322,1,0,149
358,323,1,0,149
359,326,1,0,149
360,329,1,0,164
361,329,1,0,164
362,333,1,0,164
363,336,1,0,164
364,336,2,0,164
365,338,2,0,164
366,340,2,0,164
367,344,2,0,164
368,346,2,0,164
369,347,2,0,164
370,349,2,0,177
371,353,2,0,177
372,356,2,0,177
373,358,2,0,177
374,361,2,0,177
375,362,2,0,177
376,366,2,0,177
377,368,2,0,177
378,369,3,0,176
379,372,3,0,176
380,373,3,0,188
381,373,3,0,188
382,375,3,0,188
383,378,3,0,188
384,379,3,0,188
385,383,3,0,188
386,384,3,0,188
387,385,3,0,188
388,385,3,0,188
389,386,3,0,188
390,386,4,0,209
391,389,4,0,209
392,390,4,0,209
393,392,4,0,209
394,393,4,0,209
395,395,4,0,209
396,397,4,0,209
397,398,4,0,209
398,400,4,0,209
399,401,4,0,209
400,402,4,0,229
401,407,4,0,229
402,408,4,0,229
403,408,4,0,229
404,410,4,0,229
405,411,4,0,229
406,418,4,0,229
407,421,4,1,228
408,421,4,1,228
409,422,4,1,228
410,424,4,1,237
411,424,4,1,237
412,425,4,1,237
413,425,4,1,237
414,426,4,1,237
415,428,4,1,237
416,427,5,1,236
417,427,5,1,236
418,428,5,1,236
419,428,5,1,236
420,432,5,1,254
421,434,5,1,254
422,436,5,1,254
423,436,5,1,254
424,437,5,1,254
425,437,6,1,253
