,infected,recovered,fatalities,infected_known,susceptible,severity0,severity1,severity2
166,347,1,0,98,1652,163,130,5
167,347,1,0,98,1652,165,131,5
168,348,1,0,98,1651,165,133,5
169,354,1,0,98,1645,163,136,5
170,356,1,0,117,1643,161,138,5
171,356,1,0,117,1643,159,141,5
172,357,1,0,117,1642,156,144,6
173,357,1,0,117,1642,156,147,6
174,358,1,0,117,1641,157,150,6
175,358,1,0,117,1641,157,151,6
176,359,1,0,117,1640,156,154,7
177,361,1,0,117,1638,158,153,8
178,364,1,0,117,1635,160,155,8
179,366,1,0,117,1633,164,155,8
180,368,1,0,133,1631,168,157,8
181,370,1,0,133,1629,168,158,8
182,375,1,0,133,1624,169,159,8
183,378,1,0,133,1621,170,160,8
184,379,1,0,133,1620,170,159,9
185,379,1,0,133,1620,175,157,11
186,382,1,0,133,1617,179,157,11
187,385,1,0,133,1614,178,157,12
188,387,1,0,133,1612,178,158,12
189,389,1,0,133,1610,183,159,12
190,392,1,0,148,1607,184,159,13
191,393,1,0,148,1606,182,161,13
192,396,1,0,148,1603,183,160,14
193,398,1,0,148,1601,183,158,16
194,402,1,0,148,1597,183,159,16
195,403,1,0,148,1596,182,160,16
196,404,1,0,148,1595,181,159,19
197,409,1,0,148,1590,182,159,20
198,411,1,0,148,1588,184,158,22
199,412,1,0,148,1587,185,159,22
200,417,1,0,169,1582,184,159,25
201,418,1,0,169,1581,186,157,27
202,419,1,0,169,1580,189,159,27
203,420,1,0,169,1579,191,160,27
204,426,1,0,169,1573,191,161,27
205,428,1,0,169,1571,190,162,27
206,431,1,0,169,1568,190,165,27
207,433,1,0,169,1566,192,165,28
208,437,1,0,169,1562,194,164,29
209,443,1,0,169,1556,194,165,30
210,445,1,0,183,1554,194,168,30
211,445,1,0,183,1554,195,168,30
212,445,1,0,183,1554,193,173,30
213,445,1,0,183,1554,194,174,30
214,445,1,0,183,1554,196,175,31
215,449,1,0,183,1550,197,175,31
216,453,1,0,183,1546,198,174,32
217,457,1,0,183,1542,201,175,33
218,461,1,0,183,1538,201,176,34
219,465,1,0,183,1534,201,176,35
220,468,1,0,199,1531,206,175,36
221,469,1,0,199,1530,206,174,38
222,469,1,0,199,1530,206,175,38
223,469,1,0,199,1530,205,176,39
224,469,1,0,199,1530,210,177,39
225,470,1,0,199,1529,211,175,42
226,471,1,0,199,1528,212,177,42
227,471,1,0,199,1528,213,175,45
228,472,1,0,199,1527,215,177,45
229,474,1,0,199,1525,217,181,45
230,475,1,0,210,1524,216,184,45
231,476,1,0,210,1523,215,185,45
232,476,1,0,210,1523,213,186,46
233,478,1,0,210,1521,211,188,46
234,480,1,0,210,1519,211,188,46
235,481,1,0,210,1518,213,188,48
236,481,1,0,210,1518,213,191,49
237,485,1,0,210,1514,217,191,49
238,486,1,0,210,1513,220,190,51
239,488,1,0,210,1511,222,191,52
240,490,1,0,234,1509,223,193,52
241,490,1,0,234,1509,224,192,53
242,493,1,0,234,1506,223,191,55
243,494,1,0,234,1505,223,190,56
244,495,1,0,234,1504,222,190,57
245,495,1,0,234,1504,223,190,57
246,495,1,0,234,1504,223,189,59
247,497,1,0,234,1502,223,189,59
248,499,1,0,234,1500,223,190,59
249,500,1,0,234,1499,223,192,59
250,504,1,0,248,1495,222,192,61
251,504,1,0,248,1495,222,193,61
252,505,1,0,248,1494,219,196,61
253,509,1,0,248,1490,219,198,61
254,510,1,0,248,1489,220,199,61
255,511,1,0,248,1488,221,199,61
256,511,1,0,248,1488,220,200,61
257,512,1,0,248,1487,221,203,61
258,513,1,0,248,1486,221,203,62
259,513,1,0,248,1486,221,204,63
260,514,2,0,264,1484,222,205,63
261,515,2,0,264,1483,222,204,64
262,515,2,0,264,1483,223,206,64
263,516,2,0,264,1482,222,208,64
264,516,2,0,264,1482,221,210,64
265,518,2,0,264,1480,220,211,64
266,519,2,0,264,1479,219,212,64
267,519,2,0,264,1479,219,213,65
268,520,2,0,264,1478,219,215,65
269,523,2,0,264,1475,219,215,66
270,524,2,0,280,1474,221,216,67
271,527,2,0,280,1471,221,216,67
272,527,2,0,280,1471,221,217,67
273,528,2,0,280,1470,224,218,67
274,529,2,0,280,1469,219,224,67
275,531,2,0,280,1467,218,225,68
276,534,2,0,280,1464,216,227,68
277,535,2,0,280,1463,215,229,68
278,538,2,0,280,1460,214,231,68
279,538,2,0,280,1460,209,235,69
280,538,3,0,298,1459,209,234,72
281,540,3,0,298,1457,210,234,72
282,540,3,0,298,1457,210,233,73
283,541,3,0,298,1456,211,233,73
284,541,3,0,298,1456,211,233,73
285,542,4,0,297,1454,210,236,73
286,542,4,0,297,1454,209,238,73
287,544,4,0,297,1452,208,238,74
288,547,4,0,297,1449,206,240,75
289,547,4,0,297,1449,207,242,75
290,547,4,0,312,1449,207,243,75
291,547,4,0,312,1449,209,244,75
292,547,4,0,312,1449,209,244,75
293,548,4,0,312,1448,210,244,75
294,548,4,0,312,1448,211,243,76
295,548,4,0,312,1448,212,244,76
296,548,4,0,312,1448,214,244,77
297,548,4,0,312,1448,215,244,77
298,550,4,0,312,1446,217,245,77
299,551,4,0,312,1445,215,245,79
300,553,4,0,324,1443,216,245,79
301,553,4,0,324,1443,217,246,79
302,553,4,0,324,1443,217,246,79
303,553,4,0,324,1443,216,247,80
304,553,4,0,324,1443,216,247,80
305,553,5,0,323,1442,217,248,80
306,552,6,0,322,1442,217,247,81
307,552,6,0,322,1442,217,249,81
308,553,6,0,322,1441,219,250,81
309,556,6,0,322,1438,219,250,81
310,556,6,0,330,1438,217,252,81
311,556,6,0,330,1438,217,252,81
312,557,6,0,330,1437,214,254,82
313,558,6,0,330,1436,215,254,82
314,560,6,0,330,1434,215,254,82
315,560,6,0,330,1434,215,254,82
316,560,6,0,330,1434,215,254,82
317,563,6,0,330,1431,213,256,82
318,565,6,0,330,1429,213,258,82
319,566,6,0,330,1428,213,258,83
320,567,6,0,342,1427,211,261,84
321,568,6,0,342,1426,211,260,85
322,567,7,0,341,1426,210,259,87
323,567,7,0,341,1426,207,262,87
324,566,8,0,340,1426,206,262,88
325,565,9,0,339,1426,207,262,88
326,566,9,0,339,1425,207,261,89
327,567,9,0,339,1424,206,262,89
328,569,9,0,339,1422,206,262,90
329,569,9,1,338,1421,209,260,92
330,568,10,1,346,1421,207,262,92
331,568,10,1,346,1421,206,263,92
332,569,10,1,346,1420,207,262,93
333,570,11,1,345,1418,207,262,94
334,569,12,1,344,1418,209,262,94
335,567,14,1,343,1418,207,263,95
336,568,14,1,343,1417,207,263,95
337,569,14,1,343,1416,210,263,95
338,569,15,1,342,1415,211,262,97
339,571,15,1,342,1413,209,265,97
340,571,15,1,357,1413,210,264,98
341,571,15,1,357,1413,209,266,98
342,570,16,1,357,1413,209,266,98
343,571,16,1,357,1412,208,267,98
344,571,16,1,357,1412,207,266,100
345,574,16,1,357,1409,206,266,101
346,572,18,1,356,1409,204,269,101
347,574,18,1,356,1407,205,269,101
348,574,19,1,355,1406,204,271,102
349,574,19,1,355,1406,205,270,103
350,577,19,1,365,1403,205,270,103
351,578,19,1,365,1402,204,271,103
352,579,19,1,365,1401,205,271,103
353,579,20,1,364,1400,207,271,103
354,579,20,1,364,1400,207,271,103
